"Organization_Name","Site_ID","Plot_ID","SiteType","SECorner","SECorner_latitude","SECorner_longitude","SECorner_altitude","SECorner_precision","SECorner_wkt","NECorner","NECorner_latitude","NECorner_longitude","NECorner_altitude","NECorner_precision","NECorner_wkt","NWCorner","NWCorner_latitude","NWCorner_longitude","NWCorner_altitude","NWCorner_precision","NWCorner_wkt","SWCorner","SWCorner_latitude","SWCorner_longitude","SWCorner_altitude","SWCorner_precision","SWCorner_wkt","_3x3_Subplot_Centroid_latitude","_3x3_Subplot_Centroid_longitude","_3x3_Subplot_Centroid_altitude","_3x3_Subplot_Centroid_precision","_3x3_Subplot_Centroid","_3x3_Subplot_Centroid_wkt"
"GANB","#40_Test","40_001_Test","Restoration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GANB","#Teste Henrique",NA,"Restoration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.5159767,-42.5630458,287.100006103516,4.5,"-19.5159767 -42.5630458 287.1000061035156 4.5","POINT (-42.5630458 -19.5159767 287.1000061035156)"
"GANB","P1 - ENR - 180","P1 - ENR - 180","Restoration","-16.440417 -39.2963265 108.0 5.0",-16.440417,-39.2963265,108,5,"POINT (-39.2963265 -16.440417 108.0)","-16.4401588 -39.2963594 123.19999999999999 4.4",-16.4401588,-39.2963594,123.2,4.4,"POINT (-39.2963594 -16.4401588 123.19999999999999)","-16.4402829 -39.2967411 120.30000000000001 4.966",-16.4402829,-39.2967411,120.3,4.966,"POINT (-39.2967411 -16.4402829 120.30000000000001)","-16.4404332 -39.2966125 125.6 4.8",-16.4404332,-39.2966125,125.6,4.8,"POINT (-39.2966125 -16.4404332 125.6)",-16.4404271,-39.2965692,116.1,4.933,"-16.4404271 -39.2965692 116.1 4.933","POINT (-39.2965692 -16.4404271 116.1)"
"GANB","P1 - RN - 180","P1 - RN - 180","Restoration","-16.4413138 -39.2982352 82.8 4.9",-16.4413138,-39.2982352,82.8,4.9,"POINT (-39.2982352 -16.4413138 82.8)","-16.4411119 -39.2982046 83.0 4.783",-16.4411119,-39.2982046,83,4.783,"POINT (-39.2982046 -16.4411119 83.0)","-16.4411384 -39.2985211 110.2 4.983",-16.4411384,-39.2985211,110.2,4.983,"POINT (-39.2985211 -16.4411384 110.2)","-16.4414186 -39.2986337 109.5 4.783",-16.4414186,-39.2986337,109.5,4.783,"POINT (-39.2986337 -16.4414186 109.5)",-16.4413136,-39.2985486,85.8,4.85,"-16.4413136 -39.2985486 85.8 4.85","POINT (-39.2985486 -16.4413136 85.8)"
"GANB","P3 - ENR - 180","P3 - ENR - 180","Restoration","-16.4336 -39.3164767 119.1 5.0",-16.4336,-39.3164767,119.1,5,"POINT (-39.3164767 -16.4336 119.1)","-16.4333184 -39.3164609 119.1 4.76",-16.4333184,-39.3164609,119.1,4.76,"POINT (-39.3164609 -16.4333184 119.1)","-16.4332353 -39.3167153 119.1 4.92",-16.4332353,-39.3167153,119.1,4.92,"POINT (-39.3167153 -16.4332353 119.1)","-16.4334781 -39.3166893 85.4 4.916",-16.4334781,-39.3166893,85.4,4.916,"POINT (-39.3166893 -16.4334781 85.4)",-16.4334422,-39.3166988,108.8,4.983,"-16.4334422 -39.3166988 108.8 4.983","POINT (-39.3166988 -16.4334422 108.8)"
"GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","-16.4351752 -39.3131449 109.7 5.0",-16.4351752,-39.3131449,109.7,5,"POINT (-39.3131449 -16.4351752 109.7)","-16.4349358 -39.3130794 107.4 4.7",-16.4349358,-39.3130794,107.4,4.7,"POINT (-39.3130794 -16.4349358 107.4)","-16.4349051 -39.31343 110.8 4.26",-16.4349051,-39.31343,110.8,4.26,"POINT (-39.31343 -16.4349051 110.8)","-16.4352328 -39.3133731 103.3 4.82",-16.4352328,-39.3133731,103.3,4.82,"POINT (-39.3133731 -16.4352328 103.3)",-16.4351582,-39.3133982,106.8,4.816,"-16.4351582 -39.3133982 106.8 4.816","POINT (-39.3133982 -16.4351582 106.8)"
"GANB","P2 - RN - 180","P2  - RN - 180","Restoration","-16.4340528 -39.3134926 89.5 4.6",-16.4340528,-39.3134926,89.5,4.6,"POINT (-39.3134926 -16.4340528 89.5)","-16.4339149 -39.3134272 114.5 4.983",-16.4339149,-39.3134272,114.5,4.983,"POINT (-39.3134272 -16.4339149 114.5)","-16.4338188 -39.3136674 112.3 4.9",-16.4338188,-39.3136674,112.3,4.9,"POINT (-39.3136674 -16.4338188 112.3)","-16.4340789 -39.313691 132.3 4.95",-16.4340789,-39.313691,132.3,4.95,"POINT (-39.313691 -16.4340789 132.3)",-16.4340546,-39.313741,108.5,4.466,"-16.4340546 -39.313741 108.5 4.466","POINT (-39.313741 -16.4340546 108.5)"
"GANB","P3 - RN - 180","P3 - RN - 180","Restoration","-16.4314002 -39.3218268 114.5 4.933",-16.4314002,-39.3218268,114.5,4.933,"POINT (-39.3218268 -16.4314002 114.5)","-16.4311432 -39.3218293 113.6 4.983",-16.4311432,-39.3218293,113.6,4.983,"POINT (-39.3218293 -16.4311432 113.6)","-16.4312004 -39.3221106 99.2 4.966",-16.4312004,-39.3221106,99.2,4.966,"POINT (-39.3221106 -16.4312004 99.2)","-16.4314819 -39.3222025 109.5 4.983",-16.4314819,-39.3222025,109.5,4.983,"POINT (-39.3222025 -16.4314819 109.5)",-16.4313982,-39.3221582,109.7,4.966,"-16.4313982 -39.3221582 109.7 4.966","POINT (-39.3221582 -16.4313982 109.7)"
"GANB","P4 - RN - 180","P4 - RN - 180","Restoration","-16.4281316 -39.3198965 103.4 3.9",-16.4281316,-39.3198965,103.4,3.9,"POINT (-39.3198965 -16.4281316 103.4)","-16.4279683 -39.3199467 103.6 4.975",-16.4279683,-39.3199467,103.6,4.975,"POINT (-39.3199467 -16.4279683 103.6)","-16.4278416 -39.3201592 95.6 4.583",-16.4278416,-39.3201592,95.6,4.583,"POINT (-39.3201592 -16.4278416 95.6)","-16.4280647 -39.3201836 110.7 5.0",-16.4280647,-39.3201836,110.7,5,"POINT (-39.3201836 -16.4280647 110.7)",-16.427941,-39.3203354,148.4,5,"-16.427941 -39.3203354 148.4 5.0","POINT (-39.3203354 -16.427941 148.4)"
"GANB","P4 - ENR - 180","P4 - ENR - 180","Restoration","-16.4287042 -39.3196063 111.2 4.88",-16.4287042,-39.3196063,111.2,4.88,"POINT (-39.3196063 -16.4287042 111.2)","-16.4284342 -39.3196215 107.8 4.72",-16.4284342,-39.3196215,107.8,4.72,"POINT (-39.3196215 -16.4284342 107.8)","-16.4284318 -39.31986 114.3 4.1",-16.4284318,-39.31986,114.3,4.1,"POINT (-39.31986 -16.4284318 114.3)","-16.4286776 -39.3198523 111.9 4.9",-16.4286776,-39.3198523,111.9,4.9,"POINT (-39.3198523 -16.4286776 111.9)",-16.428662,-39.3198975,82.3,4.916,"-16.428662 -39.3198975 82.3 4.916","POINT (-39.3198975 -16.428662 82.3)"
"GANB","P5 - ENR - 180","P5 - ENR - 180","Restoration","-16.4330425 -39.3235195 115.3 4.671",-16.4330425,-39.3235195,115.3,4.671,"POINT (-39.3235195 -16.4330425 115.3)","-16.4327648 -39.3234462 106.3 4.78",-16.4327648,-39.3234462,106.3,4.78,"POINT (-39.3234462 -16.4327648 106.3)","-16.4326963 -39.3237353 114.2 5.0",-16.4326963,-39.3237353,114.2,5,"POINT (-39.3237353 -16.4326963 114.2)","-16.4330199 -39.3237549 107.5 4.96",-16.4330199,-39.3237549,107.5,4.96,"POINT (-39.3237549 -16.4330199 107.5)",-16.4329977,-39.3237172,107.5,5,"-16.4329977 -39.3237172 107.5 5.0","POINT (-39.3237172 -16.4329977 107.5)"
"GANB","P5 - RN - 180","P5 - RN - 180","Restoration","-16.4327609 -39.3198506 105.3 5.0",-16.4327609,-39.3198506,105.3,5,"POINT (-39.3198506 -16.4327609 105.3)","-16.4325333 -39.319805 116.4 4.916",-16.4325333,-39.319805,116.4,4.916,"POINT (-39.319805 -16.4325333 116.4)","-16.4324253 -39.3201165 109.1 4.95",-16.4324253,-39.3201165,109.1,4.95,"POINT (-39.3201165 -16.4324253 109.1)","-16.4327497 -39.3201042 127.5 4.85",-16.4327497,-39.3201042,127.5,4.85,"POINT (-39.3201042 -16.4327497 127.5)",-16.4327802,-39.3197988,148,4.966,"-16.4327802 -39.3197988 148.0 4.966","POINT (-39.3197988 -16.4327802 148.0)"
"GANB","PControle -ENR","PControle - ENR","Control","-16.4343633 -39.3244 110.5 5.0",-16.4343633,-39.3244,110.5,5,"POINT (-39.3244 -16.4343633 110.5)","-16.4347021 -39.3244146 104.8 4.671",-16.4347021,-39.3244146,104.8,4.671,"POINT (-39.3244146 -16.4347021 104.8)","-16.4346152 -39.3241937 111.4 4.683",-16.4346152,-39.3241937,111.4,4.683,"POINT (-39.3241937 -16.4346152 111.4)","-16.4343921 -39.3241702 110.1 4.8",-16.4343921,-39.3241702,110.1,4.8,"POINT (-39.3241702 -16.4343921 110.1)",NA,NA,NA,NA,NA,NA
"GANB","P6 - ENR - 180","P6 - ENR - 180","Restoration","-16.4324504 -39.3264487 103.0 4.5",-16.4324504,-39.3264487,103,4.5,"POINT (-39.3264487 -16.4324504 103.0)","-16.4323388 -39.3264416 102.9 4.975",-16.4323388,-39.3264416,102.9,4.975,"POINT (-39.3264416 -16.4323388 102.9)","-16.4322126 -39.3266862 101.9 4.7",-16.4322126,-39.3266862,101.9,4.7,"POINT (-39.3266862 -16.4322126 101.9)","-16.4324326 -39.3266975 101.8 4.32",-16.4324326,-39.3266975,101.8,4.32,"POINT (-39.3266975 -16.4324326 101.8)",-16.4321694,-39.3263615,103.1,4.38,"-16.4321694 -39.3263615 103.1 4.38","POINT (-39.3263615 -16.4321694 103.1)"
"GANB","P7-ENR-180","P7-ENR-180","Restoration","-16.4256456 -39.3291264 106.7 4.65",-16.4256456,-39.3291264,106.7,4.65,"POINT (-39.3291264 -16.4256456 106.7)","-16.4253782 -39.3291244 106.9 4.4",-16.4253782,-39.3291244,106.9,4.4,"POINT (-39.3291244 -16.4253782 106.9)","-16.4253728 -39.3294372 105.7 4.883",-16.4253728,-39.3294372,105.7,4.883,"POINT (-39.3294372 -16.4253728 105.7)","-16.4256809 -39.329473 130.9 4.783",-16.4256809,-39.329473,130.9,4.783,"POINT (-39.329473 -16.4256809 130.9)",-16.425382,-39.3293991,106.8,4.933,"-16.425382 -39.3293991 106.8 4.933","POINT (-39.3293991 -16.425382 106.8)"
"GANB","P10- ENR 180","P10-ENR 180","Restoration","-16.4491058 -39.3317773 104.7 4.933",-16.4491058,-39.3317773,104.7,4.933,"POINT (-39.3317773 -16.4491058 104.7)","-16.4489749 -39.3317717 104.7 4.933",-16.4489749,-39.3317717,104.7,4.933,"POINT (-39.3317717 -16.4489749 104.7)","-16.4487833 -39.3319567 113.5 3.9",-16.4487833,-39.3319567,113.5,3.9,"POINT (-39.3319567 -16.4487833 113.5)","-16.4490733 -39.332033 113.5 4.92",-16.4490733,-39.332033,113.5,4.92,"POINT (-39.332033 -16.4490733 113.5)",-16.4490169,-39.3319218,113.5,5,"-16.4490169 -39.3319218 113.5 5.0","POINT (-39.3319218 -16.4490169 113.5)"
"GANB","P10- RN 180","P10- RN 180","Restoration","-16.4454482 -39.3314214 108.8 4.966",-16.4454482,-39.3314214,108.8,4.966,"POINT (-39.3314214 -16.4454482 108.8)","-16.4453073 -39.3315604 108.8 4.9",-16.4453073,-39.3315604,108.8,4.9,"POINT (-39.3315604 -16.4453073 108.8)","-16.4451473 -39.3315865 164.0 5.0",-16.4451473,-39.3315865,164,5,"POINT (-39.3315865 -16.4451473 164.0)","-16.4454576 -39.33172 119.9 4.716",-16.4454576,-39.33172,119.9,4.716,"POINT (-39.33172 -16.4454576 119.9)",-16.4455392,-39.3315984,118.6,4.95,"-16.4455392 -39.3315984 118.6 4.95","POINT (-39.3315984 -16.4455392 118.6)"
"GANB","P7- RN 180","P7- RN 180","Restoration","-16.4498234 -39.3387562 108.6 4.88",-16.4498234,-39.3387562,108.6,4.88,"POINT (-39.3387562 -16.4498234 108.6)","-16.4494453 -39.3388274 108.5 4.98",-16.4494453,-39.3388274,108.5,4.98,"POINT (-39.3388274 -16.4494453 108.5)","-16.4494796 -39.3390159 129.1 4.883",-16.4494796,-39.3390159,129.1,4.883,"POINT (-39.3390159 -16.4494796 129.1)","-16.4497969 -39.3390258 122.4 4.983",-16.4497969,-39.3390258,122.4,4.983,"POINT (-39.3390258 -16.4497969 122.4)",-16.4498333,-39.3388833,122.5,4.8,"-16.4498333 -39.3388833 122.5 4.8","POINT (-39.3388833 -16.4498333 122.5)"
"GANB","P8-ENR-180","P8-ENR-180","Restoration","-16.4422228 -39.3345354 96.8 4.9",-16.4422228,-39.3345354,96.8,4.9,"POINT (-39.3345354 -16.4422228 96.8)","-16.4418945 -39.3344708 96.7 4.966",-16.4418945,-39.3344708,96.7,4.966,"POINT (-39.3344708 -16.4418945 96.7)","-16.441919 -39.3347344 96.9 4.983",-16.441919,-39.3347344,96.9,4.983,"POINT (-39.3347344 -16.441919 96.9)","-16.4421819 -39.3347994 97.0 4.92",-16.4421819,-39.3347994,97,4.92,"POINT (-39.3347994 -16.4421819 97.0)",-16.4421397,-39.3348216,96.9,4.9,"-16.4421397 -39.3348216 96.9 4.9","POINT (-39.3348216 -16.4421397 96.9)"
"GANB","P8 RN - 165","P8RN - 165ha","Restoration","-16.4445336 -39.3089861 102.3 3.9",-16.4445336,-39.3089861,102.3,3.9,"POINT (-39.3089861 -16.4445336 102.3)","-16.4443 -39.3089175 102.1 4.95",-16.4443,-39.3089175,102.1,4.95,"POINT (-39.3089175 -16.4443 102.1)","-16.4442243 -39.3092439 92.8 4.7",-16.4442243,-39.3092439,92.8,4.7,"POINT (-39.3092439 -16.4442243 92.8)","-16.4444817 -39.3092149 86.0 4.742",-16.4444817,-39.3092149,86,4.742,"POINT (-39.3092149 -16.4444817 86.0)",-16.4444868,-39.3092364,97.5,4.816,"-16.4444868 -39.3092364 97.5 4.816","POINT (-39.3092364 -16.4444868 97.5)"
"GANB","PRN3 - 165ha","PRN3 - 165ha","Restoration","-16.4475595 -39.303063 121.30000000000001 4.933",-16.4475595,-39.303063,121.3,4.933,"POINT (-39.303063 -16.4475595 121.30000000000001)","-16.4472879 -39.303103 121.1 4.966",-16.4472879,-39.303103,121.1,4.966,"POINT (-39.303103 -16.4472879 121.1)","-16.4472492 -39.303354 121.0 5.0",-16.4472492,-39.303354,121,5,"POINT (-39.303354 -16.4472492 121.0)","-16.4475492 -39.303357 121.1 5.0",-16.4475492,-39.303357,121.1,5,"POINT (-39.303357 -16.4475492 121.1)",-16.4474882,-39.3033128,121,4.966,"-16.4474882 -39.3033128 121.0 4.966","POINT (-39.3033128 -16.4474882 121.0)"
"GANB","PRN1 - 165ha","PRN1- 165ha","Restoration","-16.444096 -39.3021728 74.4 4.74",-16.444096,-39.3021728,74.4,4.74,"POINT (-39.3021728 -16.444096 74.4)","-16.4437705 -39.3022439 75.0 4.65",-16.4437705,-39.3022439,75,4.65,"POINT (-39.3022439 -16.4437705 75.0)","-16.4437936 -39.3025368 74.9 4.8",-16.4437936,-39.3025368,74.9,4.8,"POINT (-39.3025368 -16.4437936 74.9)","-16.4441049 -39.3025503 75.1 4.383",-16.4441049,-39.3025503,75.1,4.383,"POINT (-39.3025503 -16.4441049 75.1)",-16.4441001,-39.3025438,76,4.25,"-16.4441001 -39.3025438 76.0 4.25","POINT (-39.3025438 -16.4441001 76.0)"
"GANB","PRN4 - 165ha","PRN4 - 165ha","Restoration","-16.4473022 -39.3060198 119.6 4.98",-16.4473022,-39.3060198,119.6,4.98,"POINT (-39.3060198 -16.4473022 119.6)","-16.4470559 -39.3058878 119.4 4.483",-16.4470559,-39.3058878,119.4,4.483,"POINT (-39.3058878 -16.4470559 119.4)","-16.4470709 -39.3061517 110.7 4.85",-16.4470709,-39.3061517,110.7,4.85,"POINT (-39.3061517 -16.4470709 110.7)","-16.4472828 -39.3063398 77.8 4.56",-16.4472828,-39.3063398,77.8,4.56,"POINT (-39.3063398 -16.4472828 77.8)",-16.4470758,-39.3062548,109.6,4.84,"-16.4470758 -39.3062548 109.6 4.84","POINT (-39.3062548 -16.4470758 109.6)"
"EMA","999","999-1","Restoration","-1.79048 -66.569096 1.9 1",-1.79048,-66.569096,1.9,1,"POINT (-66.569096 -1.79048 1.9)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EMA","888",NA,"Restoration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EMA","777","777-1","Restoration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
