"Species","Tree_Type","size_class","Timeframe","Country","Organization_Name","Site_ID","Plot_ID","SiteType","Plot_Size","tree_index","main_index","_30x30_Plot_TreeIDNumber","_30X30_Plot_TreeTrunk","_30x30_Plot_TreeDBH","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","Restoration_Technique"
"Sp1","planted",">10cm","Y2.5","Brazil","GANB","#40_Test","40_001_Test","Restoration","30x30",1,1,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x2"
"Sp2","Present",">10cm","Y2.5","Brazil","GANB","#40_Test","40_001_Test","Restoration","30x30",2,1,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x2"
"Sp3","naturally_regenerating",">10cm","Y2.5","Brazil","GANB","#40_Test","40_001_Test","Restoration","30x30",3,1,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x2"
"Myrsine guianensis","Present",">10cm","Y0","Brazil","GANB","P1 - ENR - 180","P1 - ENR - 180","Restoration","30x30",4,3,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3 (3 entre linhas)"
"Myrsine guianensis","Present",">10cm","Y0","Brazil","GANB","P1 - ENR - 180","P1 - ENR - 180","Restoration","30x30",5,3,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3 (3 entre linhas)"
"Jacaranda ulei","Present",">10cm","Y0","Brazil","GANB","P1 - ENR - 180","P1 - ENR - 180","Restoration","30x30",6,3,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3 (3 entre linhas)"
"Syagrus botryophora","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",7,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Senefeldera multiflora (Mart.) Muell. Arg.","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",8,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Syagrus botryophora (Mart.) Mart.","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",9,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Vismia martiniana","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",10,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Zanthoxylum nemorale Mart.","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",11,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Annona silvestris Vell.","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",12,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Vismia martiniana","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",13,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Annona silvestris Vell.","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",14,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Byrsonima verbascifolia (L.) DC.","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",15,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Miconia sp.","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",16,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Eschweilera ovata","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",17,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Syagrus botryophora (Mart.) Mart.","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",18,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Byrsonima verbascifolia","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",19,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Xylopia frutescens","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",20,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Syagrus botryophora (Mart.) Mart.","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",21,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Syagrus botryophora (Mart.) Mart.","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",22,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Xylopia frutescens","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",23,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Syagrus botryophora (Mart.) Mart.","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",24,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Syagrus botryophora (Mart.) Mart.","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",25,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Syagrus botryophora (Mart.) Mart.","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",26,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Syagrus botryophora (Mart.) Mart.","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",27,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Syagrus botryophora (Mart.) Mart.","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",28,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Byrsonima verbascifolia","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",29,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Inga edulis","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",30,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Byrsonima sericea DC.","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",31,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Miconia sp.","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",32,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Miconia sp.","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",33,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Tapirira guianensis Aubl.","Present",">10cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","30x30",34,4,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Tabernaemontana sp (2)","Present",">10cm","Y0","Brazil","GANB","P3 - ENR - 180","P3 - ENR - 180","Restoration","30x30",35,5,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Jacaranda semisserrata Cham.","Present",">10cm","Y0","Brazil","GANB","P3 - ENR - 180","P3 - ENR - 180","Restoration","30x30",36,5,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Tabernaemontana sp (2)","Present",">10cm","Y0","Brazil","GANB","P3 - ENR - 180","P3 - ENR - 180","Restoration","30x30",37,5,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Jacaranda semisserrata Cham.","Present",">10cm","Y0","Brazil","GANB","P3 - ENR - 180","P3 - ENR - 180","Restoration","30x30",38,5,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Lecythis lurida","Present",">10cm","Y0","Brazil","GANB","P3 - ENR - 180","P3 - ENR - 180","Restoration","30x30",39,5,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Margaritaria nobilis","Present",">10cm","Y0","Brazil","GANB","P3 - ENR - 180","P3 - ENR - 180","Restoration","30x30",40,5,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Jacaranda semisserrata","Present",">10cm","Y0","Brazil","GANB","P3 - ENR - 180","P3 - ENR - 180","Restoration","30x30",41,5,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Tabernaemontana sp","Present",">10cm","Y0","Brazil","GANB","P3 - ENR - 180","P3 - ENR - 180","Restoration","30x30",42,5,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Compamanesia dichotoma","Present",">10cm","Y0","Brazil","GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","30x30",43,6,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Tapirira guianensis","Present",">10cm","Y0","Brazil","GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","30x30",44,6,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Eschweilera ovata","Present",">10cm","Y0","Brazil","GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","30x30",45,6,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Schefflera morototoni","Present",">10cm","Y0","Brazil","GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","30x30",46,6,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Pogonophora schomburgkiana","Present",">10cm","Y0","Brazil","GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","30x30",47,6,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Myrcia falla","Present",">10cm","Y0","Brazil","GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","30x30",48,6,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Pouteira venosa","Present",">10cm","Y0","Brazil","GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","30x30",49,6,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Byrsonima sericea","Present",">10cm","Y0","Brazil","GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","30x30",50,6,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Zanthoxylum nemorale","Present",">10cm","Y0","Brazil","GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","30x30",51,6,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Pterocarpus rhorii","Present",">10cm","Y0","Brazil","GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","30x30",52,6,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Sloanea obtusifolia","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",53,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Tapirira guianensis Aubl.","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",54,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Tapirira guianensis Aubl.","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",55,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Tapirira guianensis Aubl.","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",56,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Lecythis pisonis","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",57,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Thyrsodium spruceanum","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",58,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Zanthoxylum nemorale","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",59,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Pouteria venosa","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",60,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Zanthoxylum nemorale","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",61,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Eschweilera mattos-silvae","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",62,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Xylopia frutescens","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",63,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Xylopia frutescens","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",64,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Andira fraxinifolia","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",65,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Annona silvestris","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",66,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Margaritaria nobilis","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",67,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Jacaranda semisserrata","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",68,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Casearia commersoniana","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",69,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Moldenhawera blanchetiana","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",70,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Eschweilera ovata","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",71,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Melanoxylon brauna","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",72,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Inga affinis","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",73,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Syagrus botryophora","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",74,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Syagrus botryophora","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",75,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Syagrus botryophora","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",76,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Syagrus botryophora","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",77,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Vismia martiana","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",78,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Moldenhawera blanchetiana","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",79,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Moldenhawera blanchetiana","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",80,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Pera glabrata","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",81,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Zanthoxylum nemorale","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",82,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Zanthoxylum nemorale","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",83,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Inga affinis","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",84,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Syagrus botryophora","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",85,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Tapira guianensis Aubl.","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",86,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Byrsonima sericea DC.","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",87,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Thyrsodium spruceanum","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",88,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Tapirira guianensis Aubl.","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",89,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Xylopia frutescens Aubl.","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",90,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Xylopia frutescens Aubl","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",91,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Tapirira guianensis Aubl.","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",92,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Bowdichia virgilioides","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",93,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Byrsonima sericea","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",94,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Pera heteranthera","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",95,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Bowdichia virgilioides","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",96,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Pera glabrata","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",97,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
