"Species","Tree_Type","size_class","Timeframe","Country","Organization_Name","Site_ID","Plot_ID","SiteType","Plot_Size","tree_index","main_index","_30x30_Plot_TreeIDNumber","_30X30_Plot_TreeTrunk","_30x30_Plot_TreeDBH","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","Restoration_Technique"
"Byrsonima sericea","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",98,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Pera glabrata","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",99,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Desconhecida","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",100,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Byrsonima sericea","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",101,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Thyrsodium spruceanum","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",102,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Tapirira guianensis","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",103,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Tapirira guianensis","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",104,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Balizia pedicellare","Present",">10cm","Y0","Brazil","GANB","P4 - RN - 180","P4 - RN - 180","Restoration","30x30",105,9,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio"
"Balizia pedicellare","Present",">10cm","Y0","Brazil","GANB","P4 - RN - 180","P4 - RN - 180","Restoration","30x30",106,9,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio"
"Tapirira guianensis","Present",">10cm","Y0","Brazil","GANB","P4 - RN - 180","P4 - RN - 180","Restoration","30x30",107,9,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio"
"Schefflera morototoni","Present",">10cm","Y0","Brazil","GANB","P4 - RN - 180","P4 - RN - 180","Restoration","30x30",108,9,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio"
"Tapirira guianensis","Present",">10cm","Y0","Brazil","GANB","P4 - RN - 180","P4 - RN - 180","Restoration","30x30",109,9,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio"
"Andira fraxinifolia","Present",">10cm","Y0","Brazil","GANB","P4 - RN - 180","P4 - RN - 180","Restoration","30x30",110,9,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio"
"Thyrsodium spruceanum","Present",">10cm","Y0","Brazil","GANB","P4 - RN - 180","P4 - RN - 180","Restoration","30x30",111,9,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio"
"Thyrsodium spruceanum","Present",">10cm","Y0","Brazil","GANB","P4 - RN - 180","P4 - RN - 180","Restoration","30x30",112,9,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio"
"Byrsonima sericea","Present",">10cm","Y0","Brazil","GANB","P4 - RN - 180","P4 - RN - 180","Restoration","30x30",113,9,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio"
"Byrsonima sericea","Present",">10cm","Y0","Brazil","GANB","P4 - RN - 180","P4 - RN - 180","Restoration","30x30",114,9,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio"
"Albizia polycephalum","Present",">10cm","Y0","Brazil","GANB","P4 - ENR - 180","P4 - ENR - 180","Restoration","30x30",115,10,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Eschweilera ovata","Present",">10cm","Y0","Brazil","GANB","P4 - ENR - 180","P4 - ENR - 180","Restoration","30x30",116,10,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Byrsonima sericea","Present",">10cm","Y0","Brazil","GANB","P4 - ENR - 180","P4 - ENR - 180","Restoration","30x30",117,10,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Byrsonima sericea","Present",">10cm","Y0","Brazil","GANB","P4 - ENR - 180","P4 - ENR - 180","Restoration","30x30",118,10,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Byrsonima sericea","Present",">10cm","Y0","Brazil","GANB","P4 - ENR - 180","P4 - ENR - 180","Restoration","30x30",119,10,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Eschweilera ovata","Present",">10cm","Y0","Brazil","GANB","P4 - ENR - 180","P4 - ENR - 180","Restoration","30x30",120,10,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Cuspia sp.","Present",">10cm","Y0","Brazil","GANB","P4 - ENR - 180","P4 - ENR - 180","Restoration","30x30",121,10,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Byrsonima sericea","Present",">10cm","Y0","Brazil","GANB","P4 - ENR - 180","P4 - ENR - 180","Restoration","30x30",122,10,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Syagrus botryophora","Present",">10cm","Y0","Brazil","GANB","P4 - ENR - 180","P4 - ENR - 180","Restoration","30x30",123,10,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Byrsonima sericea","Present",">10cm","Y0","Brazil","GANB","P5 - ENR - 180","P5 - ENR - 180","Restoration","30x30",124,11,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Tapirira guianensis","Present",">10cm","Y0","Brazil","GANB","P5 - ENR - 180","P5 - ENR - 180","Restoration","30x30",125,11,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Byrsonima sericea","Present",">10cm","Y0","Brazil","GANB","P5 - ENR - 180","P5 - ENR - 180","Restoration","30x30",126,11,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Dimorphandra jorgei","Present",">10cm","Y0","Brazil","GANB","P5 - ENR - 180","P5 - ENR - 180","Restoration","30x30",127,11,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Byrsonima verbascifolia","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",128,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Abarema sp.","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",129,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Piptadenia macrocarpa","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",130,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Piptadenia macrocarpa","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",131,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Piptadenia macrocarpa","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",132,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Xylopia frutescens","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",133,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Piptadenia macrocarpa","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",134,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Xylopia frutescens","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",135,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Piptadenia macrocarpa","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",136,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Piptadenia macrocarpa","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",137,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Piptadenia macrocarpa","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",138,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Piptadenia macrocarpa","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",139,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Tapirira guianensis","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",140,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Piptadenia macrocarpa","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",141,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Piptadenia macrocarpa","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",142,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Piptadenia macrocarpa","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",143,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Piptadenia macrocarpa","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",144,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Piptadenia macrocarpa","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",145,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Piptadenia macrocarpa","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",146,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Piptadenia macrocarpa","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",147,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Piptadenia macrocarpa","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",148,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Byrsonima sericea","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",149,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Eschweilera ovata","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",150,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Myrcia fallax","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",151,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Piptadenia macrocarpa","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",152,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Piptadenia macrocarpa","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",153,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Piptadenia macrocarpa","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",154,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Byrsonima sericea","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",155,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Eschweilera ovata","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",156,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Himatanthus phagedaenicus","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",157,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Eschweilera ovata","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",158,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Senefeldera multiflora","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",159,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Thyrsodium spruceanum","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",160,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Andira sp.","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",161,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Thyrsodium spruceanum","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",162,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Thyrsodium spruceanum","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",163,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Thyrsodium spruceanum","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",164,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Thyrsodium spruceanum","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",165,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Thyrsodium spruceanum","Present",">10cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","30x30",166,12,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Melanoxylon brauna","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",167,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Jacaranda semisserrata","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",168,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Melanoxylon brauna","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",169,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Melanoxylon brauna","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",170,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Melanoxylon brauna","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",171,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Compamanesia dichotoma","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",172,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Randia armata","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",173,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Margaritaria nobilis","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",174,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Melanoxylon brauna","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",175,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Ormosia sp.","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",176,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Melanoxylon brauna","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",177,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Randia armata","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",178,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Melanoxylon brauna","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",179,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Sloanea obtusifolia","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",180,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Centrolobium robustum","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",181,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Melanoxylon brauna","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",182,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Centrolobium robustum","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",183,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Albizia polycephalum","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",184,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Albizia polycephalum","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",185,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Centrolobium robustum","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",186,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Melanoxylon brauna","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",187,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Albizia polycephalum","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",188,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Andira anthelmia","Present",">10cm","Y0","Brazil","GANB","PControle -ENR","PControle - ENR","Control","30x30",189,13,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"Byrsonima sericea","Present",">10cm","Y0","Brazil","GANB","P6 - ENR - 180","P6 - ENR - 180","Restoration","30x30",190,14,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","2","4x3"
"Miconia sp","Present",">10cm","Y0","Brazil","GANB","P6 - ENR - 180","P6 - ENR - 180","Restoration","30x30",191,14,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","2","4x3"
"Pera glabrata","Present",">10cm","Y0","Brazil","GANB","P7-ENR-180","P7-ENR-180","Restoration","30x30",192,15,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","1","4x3"
"Margaritaria nobilis","Present",">10cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","30x30",193,16,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Xylopia frutescens","Present",">10cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","30x30",194,16,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Tabebuia sp","Present",">10cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","30x30",195,16,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Inga affinis","Present",">10cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","30x30",196,16,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Annona silvestris","Present",">10cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","30x30",197,16,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Emmotum nitens","Present",">10cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","30x30",198,16,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Arapatiella psilophylla","Present",">10cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","30x30",199,16,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Vismia martiniana","Present",">10cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","30x30",200,16,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Jacaranda ulei","Present",">10cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","30x30",201,16,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Jacaranda ulei","Present",">10cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","30x30",202,16,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Compomanesia dichotoma","Present",">10cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","30x30",203,16,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Swartzia polida","Present",">10cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","30x30",204,16,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Swartzia polida","Present",">10cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","30x30",205,16,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Swartzia polida",NA,NA,"Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","30x30",206,16,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Xylopia aromatica","Present",">10cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","30x30",207,16,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Inga affinis","Present",">10cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","30x30",208,16,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Jacaranda ulei","Present",">10cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","30x30",209,16,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
