"Species","Tree_Type","size_class","Timeframe","Country","Organization_Name","Site_ID","Plot_ID","SiteType","Plot_Size","Tree_Count","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","Restoration_Technique"
"Sp5","planted","1 - 9.9cm","Y2.5","Brazil","GANB","#40_Test","40_001_Test","Restoration","3x3",8,1,1,"main","_3x3_Subplot_Repeat","Permanent","0","0","3x2"
"Sp6","planted","1 - 9.9cm","Y2.5","Brazil","GANB","#40_Test","40_001_Test","Restoration","3x3",9,2,1,"main","_3x3_Subplot_Repeat","Permanent","0","0","3x2"
"Sp7",NA,"1 - 9.9cm","Y2.5","Brazil","GANB","#40_Test","40_001_Test","Restoration","3x3",6,3,1,"main","_3x3_Subplot_Repeat","Permanent","0","0","3x2"
"Angico","planted","1 - 9.9cm","Y2.5","Brazil","GANB","#Teste Henrique",NA,"Restoration","3x3",1,4,2,"main","_3x3_Subplot_Repeat",NA,"0","0",NA
"Vismia guianensis","Present","1 - 9.9cm","Y0","Brazil","GANB","P1 - ENR - 180","P1 - ENR - 180","Restoration","3x3",6,5,3,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3 (3 entre linhas)"
"Siparuna guianensis","Present","1 - 9.9cm","Y0","Brazil","GANB","P1 - ENR - 180","P1 - ENR - 180","Restoration","3x3",1,6,3,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3 (3 entre linhas)"
"Syagrus botryophora (Mart.) Mart.","Present","1 - 9.9cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","3x3",1,7,4,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Senefeldera multiflora (Mart.) Muell. Arg.","Present","1 - 9.9cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","3x3",1,8,4,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Vismia martiniana","Present","1 - 9.9cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","3x3",1,9,4,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Annona silvestris Vell.","Present","1 - 9.9cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","3x3",1,10,4,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Hyeromina alchorneoides Allemao","Present","1 - 9.9cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","3x3",1,11,4,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Xylopia sericea","Present","1 - 9.9cm","Y0","Brazil","GANB","P3 - ENR - 180","P3 - ENR - 180","Restoration","3x3",1,12,5,"main","_3x3_Subplot_Repeat","Permanent","0","0","3x4"
"Annona silvestris","Present","1 - 9.9cm","Y0","Brazil","GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","3x3",1,13,6,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3"
"Tapirira guianensis","Present","1 - 9.9cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","3x3",NA,14,7,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Sloanea obtusifolia","Present","1 - 9.9cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","3x3",1,15,7,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Tabernaemontana sp.","Present","1 - 9.9cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","3x3",1,16,7,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Cupania oblongifolia","Present","1 - 9.9cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","3x3",1,17,7,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Lecythis lurida","Present","1 - 9.9cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","3x3",1,18,8,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Miconia albicans","Present","1 - 9.9cm","Y0","Brazil","GANB","P4 - RN - 180","P4 - RN - 180","Restoration","3x3",2,19,9,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio"
"Miconia sp.","Present","1 - 9.9cm","Y0","Brazil","GANB","P4 - ENR - 180","P4 - ENR - 180","Restoration","3x3",1,20,10,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3"
"Byrsonima sericea","Present","1 - 9.9cm","Y0","Brazil","GANB","P5 - ENR - 180","P5 - ENR - 180","Restoration","3x3",5,21,11,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3"
"Baccharis calvescens","Present","1 - 9.9cm","Y0","Brazil","GANB","P5 - ENR - 180","P5 - ENR - 180","Restoration","3x3",1,22,11,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3"
"Byrsonima sericea","Present","1 - 9.9cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","3x3",2,23,12,"main","_3x3_Subplot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Cupania oblongifolia","Present","1 - 9.9cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","3x3",1,24,12,"main","_3x3_Subplot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Byrsonima verbascifolia","Present","1 - 9.9cm","Y0","Brazil","GANB","P5 - RN - 180","P5 - RN - 180","Restoration","3x3",1,25,12,"main","_3x3_Subplot_Repeat","Permanent","0","1","Não haverá plantio de mudas"
"Byrsonima sericea",NA,NA,"Y0","Brazil","GANB","P6 - ENR - 180","P6 - ENR - 180","Restoration","3x3",1,26,14,"main","_3x3_Subplot_Repeat","Permanent","0","2","4x3"
"Byrsonima sericea","Present","1 - 9.9cm","Y0","Brazil","GANB","P7-ENR-180","P7-ENR-180","Restoration","3x3",1,27,15,"main","_3x3_Subplot_Repeat","Permanent","0","1","4x3"
"Miconia albicans","Present","1 - 9.9cm","Y0","Brazil","GANB","P7-ENR-180","P7-ENR-180","Restoration","3x3",1,28,15,"main","_3x3_Subplot_Repeat","Permanent","0","1","4x3"
"Thyrsodium spruceanum","Present","1 - 9.9cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","3x3",1,29,16,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3"
"Randia armata","Present","1 - 9.9cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","3x3",2,30,16,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3"
"Siparuna guianensis","Present","1 - 9.9cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","3x3",1,31,16,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3"
"Inga affinis","Present","1 - 9.9cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","3x3",1,32,16,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3"
"Pera deciplens","Present","1 - 9.9cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","3x3",1,33,16,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3"
"Pera heteranthera","Present","1 - 9.9cm","Y0","Brazil","GANB","P10- ENR 180","P10-ENR 180","Restoration","3x3",1,34,16,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3"
"Miconia sp","Present","1 - 9.9cm","Y0","Brazil","GANB","P10- RN 180","P10- RN 180","Restoration","3x3",1,35,17,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Casearia sylvestris","Present","1 - 9.9cm","Y0","Brazil","GANB","P10- RN 180","P10- RN 180","Restoration","3x3",1,36,17,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Pera heteranthera","Present","1 - 9.9cm","Y0","Brazil","GANB","P10- RN 180","P10- RN 180","Restoration","3x3",1,37,17,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Heisteria ovata","Present","1 - 9.9cm","Y0","Brazil","GANB","P7- RN 180","P7- RN 180","Restoration","3x3",1,38,18,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3"
"Pera glabrata","Present","1 - 9.9cm","Y0","Brazil","GANB","P7- RN 180","P7- RN 180","Restoration","3x3",1,39,18,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3"
"Vismia pentagyna","Present","1 - 9.9cm","Y0","Brazil","GANB","P7- RN 180","P7- RN 180","Restoration","3x3",2,40,18,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3"
"Paypayrola blanchetiana","Present","1 - 9.9cm","Y0","Brazil","GANB","P7- RN 180","P7- RN 180","Restoration","3x3",1,41,18,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3"
"Handroanthus chrysotrichus","Present","1 - 9.9cm","Y0","Brazil","GANB","P8-ENR-180","P8-ENR-180","Restoration","3x3",1,42,19,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3"
"Miconia albicans","Present","1 - 9.9cm","Y0","Brazil","GANB","P8-ENR-180","P8-ENR-180","Restoration","3x3",1,43,19,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3"
"Myrsine ferruginea","Present","1 - 9.9cm","Y0","Brazil","GANB","P8-ENR-180","P8-ENR-180","Restoration","3x3",1,44,19,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3"
"Cupania oblongifolia","Present","1 - 9.9cm","Y2.5","Brazil","GANB","P8 RN - 165","P8RN - 165ha","Restoration","3x3",1,45,20,"main","_3x3_Subplot_Repeat","Permanent","0","1","Não houve plantio"
"Randia armata","Present","1 - 9.9cm","Y2.5","Brazil","GANB","P8 RN - 165","P8RN - 165ha","Restoration","3x3",1,46,20,"main","_3x3_Subplot_Repeat","Permanent","0","1","Não houve plantio"
"Pera heteranthera","Present","1 - 9.9cm","Y2.5","Brazil","GANB","P8 RN - 165","P8RN - 165ha","Restoration","3x3",1,47,20,"main","_3x3_Subplot_Repeat","Permanent","0","1","Não houve plantio"
"Paypayrola blanchetiana","Present","1 - 9.9cm","Y2.5","Brazil","GANB","PRN3 - 165ha","PRN3 - 165ha","Restoration","3x3",1,48,21,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não houve plantio"
"Handroanthus chrysotrichus","Present","1 - 9.9cm","Y2.5","Brazil","GANB","PRN3 - 165ha","PRN3 - 165ha","Restoration","3x3",1,49,21,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não houve plantio"
"Byrsonima sericea","Present","1 - 9.9cm","Y2.5","Brazil","GANB","PRN1 - 165ha","PRN1- 165ha","Restoration","3x3",2,50,22,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não houve plantio"
"Margaritaria nobilis","Present","1 - 9.9cm","Y2.5","Brazil","GANB","PRN4 - 165ha","PRN4 - 165ha","Restoration","3x3",1,51,23,"main","_3x3_Subplot_Repeat","Permanent","0","1","Não houve plantio"
"Angelim","Present","1 - 9.9cm","Y2.5","Brazil","GANB","PRN4 - 165ha","PRN4 - 165ha","Restoration","3x3",1,52,23,"main","_3x3_Subplot_Repeat","Permanent","0","1","Não houve plantio"
"Tinyus treeus","Present","1 - 9.9cm","Y0","Brazil","EMA","999","999-1","Restoration","3x3",7,53,24,"main","_3x3_Subplot_Repeat","Permanent","0","1","4 by 4 meters"
"Smallus baumus","Present","1 - 9.9cm","Y0","Brazil","EMA","999","999-1","Restoration","3x3",2,54,24,"main","_3x3_Subplot_Repeat","Permanent","0","1","4 by 4 meters"
