"Organization_Name","Site_ID","count_Y0","count_Y25","count_Y5","restored_Y25","restored_Y5"
"AMBIO","1267-2",NA,NA,NA,NA,NA
"AMBIO","744",8.72555555555556,NA,NA,NA,NA
"AMBIO","746",26.2933333333333,NA,NA,NA,NA
"AMBIO","747",151.988148148148,NA,NA,NA,NA
"AMBIO","750",35.4588888888889,NA,NA,NA,NA
"AMBIO","751",45.1753086419753,NA,NA,NA,NA
"AMBIO","751
",NA,NA,NA,NA,NA
"AMBIO","753",339.545555555556,NA,NA,NA,NA
"AMBIO","808",3.23055555555556,NA,NA,NA,NA
"AMBIO","809",1369.05777777778,NA,NA,NA,NA
"AMBIO","810",555.273333333333,NA,NA,NA,NA
"AMBIO","813",11474.0055555556,NA,NA,NA,NA
"AMBIO","814",1205.23,NA,NA,NA,NA
"AMBIO","815",310.582222222222,NA,NA,NA,NA
"AMBIO","815.2",NA,NA,NA,NA,NA
"AMBIO","817",2026.08333333333,NA,NA,NA,NA
"AMBIO","818",659.626666666667,NA,NA,NA,NA
"AMBIO","819",43.4066666666667,NA,NA,NA,NA
"AMBIO","820",564.99,NA,NA,NA,NA
"AMBIO","821",752.266666666667,NA,NA,NA,NA
"AMBIO","822",264.891666666667,NA,NA,NA,NA
"AMBIO","823",155.715555555556,NA,NA,NA,NA
"AMBIO","824",188.894444444444,NA,NA,NA,NA
"AMBIO","825",626.808888888889,NA,NA,NA,NA
"AMBIO","828",283.015555555556,NA,NA,NA,NA
"AMBIO","831",84.73,NA,NA,NA,NA
"AMBIO","832",399.580740740741,NA,NA,NA,NA
"AMBIO","833",141.826666666667,NA,NA,NA,NA
"AMBIO","909",NA,NA,NA,NA,NA
"Amadese","1744",NA,NA,NA,NA,NA
"Amadese","1745",192.012222222222,NA,NA,NA,NA
"Amadese","1747",388.685185185185,NA,NA,NA,NA
"Amadese","1748",74.9793186132481,NA,NA,NA,NA
"Amadese","1749",18241.5779012346,NA,NA,NA,NA
"Amadese","1750",1847.20066666667,NA,NA,NA,NA
"Amadese","1751",NA,NA,NA,NA,NA
"Amadese","1752",970.777777777778,NA,NA,NA,NA
"Amadese","1753",578.957037037037,NA,NA,NA,NA
"Amadese","1756",221.343703703704,NA,NA,NA,NA
"Amadese","1757",38.297,NA,NA,NA,NA
"Amadese","1758",23780.5162978769,NA,NA,NA,NA
"Amadese","1759",824.943157894737,NA,NA,NA,NA
"Amadese","1761",342.688172043011,NA,NA,NA,NA
"Amadese","1762",NA,NA,NA,NA,NA
"Amadese","1763",12759.152860044,NA,NA,NA,NA
"Amadese","1764",2852.0225,NA,NA,NA,NA
"Amadese","1766",12188.3278985507,NA,NA,NA,NA
"Amadese","1770",3185.78537037037,NA,NA,NA,NA
"Amadese","1773",1099.73333333333,NA,NA,NA,NA
"Amadese","1774",7792.4,NA,NA,NA,NA
"Amadese","1776",782.409490740741,NA,NA,NA,NA
"Amadese","1777",1413.74777777778,NA,NA,NA,NA
"Amadese","1781",1120.1625,NA,NA,NA,NA
"Amadese","1782",4.32222222222222,NA,NA,NA,NA
"Amadese","1785",1700.5653968254,NA,NA,NA,NA
"Amadese","1786",5323.06267100977,NA,NA,NA,NA
"Amadese","1787",NA,NA,NA,NA,NA
"Amadese","1788",24.4028813559322,NA,NA,NA,NA
"Amadese","1792",68.2263157894737,NA,NA,NA,NA
"Amadese","1794",30834.7170754536,NA,NA,NA,NA
"CI Madagascar","1746",314.94,NA,NA,NA,NA
"CI Madagascar","1758",2483.62742994565,NA,NA,NA,NA
"CI Madagascar","1759",18.9642105263158,NA,NA,NA,NA
"CI Madagascar","1761",20.5612903225806,NA,NA,NA,NA
"CI Madagascar","1763",68.4259180910476,NA,NA,NA,NA
"CI Madagascar","1768",23.8589189189189,NA,NA,NA,NA
"CI Madagascar","1779",13.0610526315789,NA,NA,NA,NA
"CI Madagascar","1792",27.2905263157895,NA,NA,NA,NA
"CI Madagascar","1795",83.379533696917,NA,NA,NA,NA
"CI Madagascar","1797",291.269085939025,NA,NA,NA,NA
"CI Madagascar","1830",187.879518072289,NA,NA,NA,NA
"CI Madagascar","1831",263.328047571853,NA,NA,NA,NA
"CI Madagascar","1835",2721.87804878049,NA,NA,NA,NA
"CI Madagascar","1840",34.8032103233929,NA,NA,NA,NA
"CI Madagascar","1853",336.370044052863,NA,NA,NA,NA
"CI Madagascar","1860",26.1046635813457,NA,NA,NA,NA
"CI Madagascar","1862",168.823155298851,NA,NA,NA,NA
"CI Madagascar","1876",80.832,NA,NA,NA,NA
"CI Madagascar","1880",123.086486486486,NA,NA,NA,NA
"CI Madagascar","1881",169.822105263158,NA,NA,NA,NA
"CI Madagascar","1889",813.163064833006,NA,NA,NA,NA
"CI Madagascar","1890",30.5609522506499,NA,NA,NA,NA
"CI Madagascar","1891",139.939794344473,NA,NA,NA,NA
"CI Madagascar","1895",151.786235662148,NA,NA,NA,NA
"CI Madagascar","1898",43.8315163528246,NA,NA,NA,NA
"CI Philippines","1742",7368706.625,NA,NA,NA,NA
"CI Philippines","1987",6181945.72666667,NA,NA,NA,NA
"CI Philippines","211",591512.985320197,NA,NA,NA,NA
"CUCOS","1259",NA,NA,NA,NA,NA
"CUCOS","1415",NA,NA,NA,NA,NA
"CUCOS","1418",NA,NA,NA,NA,NA
"CUCOS","1419",NA,NA,NA,NA,NA
"CUCOS","1435",NA,NA,NA,NA,NA
"CUCOS","1436",NA,NA,NA,NA,NA
"CUCOS","1437",NA,NA,NA,NA,NA
"CUCOS","1438",NA,NA,NA,NA,NA
"CUCOS","1439",NA,NA,NA,NA,NA
"CUCOS","1440",NA,NA,NA,NA,NA
"CUCOS","1444",NA,NA,NA,NA,NA
"CUCOS","1445",NA,NA,NA,NA,NA
"CUCOS","1447",NA,NA,NA,NA,NA
"CUCOS","1448",NA,NA,NA,NA,NA
"CUCOS","1450",NA,NA,NA,NA,NA
"CUCOS","1451",NA,NA,NA,NA,NA
"CUCOS","1452",NA,NA,NA,NA,NA
"CUCOS","1454",NA,NA,NA,NA,NA
"CUCOS","1455",NA,NA,NA,NA,NA
"CUCOS","1456",NA,NA,NA,NA,NA
"CUCOS","1457",NA,NA,NA,NA,NA
"CUCOS","1458",NA,NA,NA,NA,NA
"CUCOS","1459",NA,NA,NA,NA,NA
"CUCOS","1460",NA,NA,NA,NA,NA
"CUCOS","1461",NA,NA,NA,NA,NA
"CUCOS","1462",NA,NA,NA,NA,NA
"CUCOS","1463",NA,NA,NA,NA,NA
"CUCOS","1464",NA,NA,NA,NA,NA
"CUCOS","1465",NA,NA,NA,NA,NA
"CUCOS","1466",NA,NA,NA,NA,NA
"CUCOS","1467",NA,NA,NA,NA,NA
"CUCOS","1468",NA,NA,NA,NA,NA
"CUCOS","1469",NA,NA,NA,NA,NA
"CUCOS","1470",NA,NA,NA,NA,NA
"CUCOS","1471",NA,NA,NA,NA,NA
"CUCOS","1472",NA,NA,NA,NA,NA
"CUCOS","1473",NA,NA,NA,NA,NA
"CUCOS","1476",NA,NA,NA,NA,NA
"CUCOS","1477",NA,NA,NA,NA,NA
"CUCOS","1478",NA,NA,NA,NA,NA
"CUCOS","1479",NA,NA,NA,NA,NA
"CUCOS","1480",NA,NA,NA,NA,NA
"CUCOS","1481",NA,NA,NA,NA,NA
"CUCOS","1482",NA,NA,NA,NA,NA
"CUCOS","1483",NA,NA,NA,NA,NA
"CUCOS","1484",NA,NA,NA,NA,NA
"CUCOS","1485",NA,NA,NA,NA,NA
"CUCOS","1487",NA,NA,NA,NA,NA
"CUCOS","1489",NA,NA,NA,NA,NA
"CUCOS","1490",NA,NA,NA,NA,NA
"CUCOS","1491",NA,NA,NA,NA,NA
"CUCOS","1492",NA,NA,NA,NA,NA
"CUCOS","1493",NA,NA,NA,NA,NA
"CUCOS","1494",NA,NA,NA,NA,NA
"CUCOS","1501",NA,NA,NA,NA,NA
"CUCOS","1503",NA,NA,NA,NA,NA
"CUCOS","1507",NA,NA,NA,NA,NA
"CUCOS","1508",NA,NA,NA,NA,NA
"CUCOS","1509",NA,NA,NA,NA,NA
"CUCOS","1510",NA,NA,NA,NA,NA
"CUCOS","1512",NA,NA,NA,NA,NA
"CUCOS","1514",NA,NA,NA,NA,NA
"CUCOS","1515",NA,NA,NA,NA,NA
"CUCOS","1516",NA,NA,NA,NA,NA
"CUCOS","1517",NA,NA,NA,NA,NA
"CUCOS","1518",NA,NA,NA,NA,NA
"CUCOS","1519",NA,NA,NA,NA,NA
"CUCOS","1530",NA,NA,NA,NA,NA
"CUCOS","1531",NA,NA,NA,NA,NA
"CUCOS","1532",NA,NA,NA,NA,NA
"CUCOS","1533",NA,NA,NA,NA,NA
"CUCOS","1534",NA,NA,NA,NA,NA
"CUCOS","1535",NA,NA,NA,NA,NA
"CUCOS","1537",NA,NA,NA,NA,NA
"CUCOS","1538",NA,NA,NA,NA,NA
"CUCOS","1542",NA,NA,NA,NA,NA
"CUCOS","1549",NA,NA,NA,NA,NA
"CUCOS","1554",NA,NA,NA,NA,NA
"CUCOS","1555",NA,NA,NA,NA,NA
"CUCOS","1561",NA,NA,NA,NA,NA
"CUCOS","1570",NA,NA,NA,NA,NA
"CUCOS","1571",NA,NA,NA,NA,NA
"CUCOS","1573",NA,NA,NA,NA,NA
"CUCOS","1574",NA,NA,NA,NA,NA
"CUCOS","1575",NA,NA,NA,NA,NA
"CUCOS","1577",NA,NA,NA,NA,NA
"CUCOS","1578",NA,NA,NA,NA,NA
"CUCOS","1579",NA,NA,NA,NA,NA
"CUCOS","1580",NA,NA,NA,NA,NA
"CUCOS","1588",NA,NA,NA,NA,NA
"CUCOS","1590",NA,NA,NA,NA,NA
"CUCOS","1591",NA,NA,NA,NA,NA
"CUCOS","1593",NA,NA,NA,NA,NA
"CUCOS","1594",NA,NA,NA,NA,NA
"CUCOS","1595",NA,NA,NA,NA,NA
"CUCOS","1596
",NA,NA,NA,NA,NA
"CUCOS","1597",NA,NA,NA,NA,NA
"CUCOS","1598",NA,NA,NA,NA,NA
"CUCOS","1600",NA,NA,NA,NA,NA
"CUCOS","1601",NA,NA,NA,NA,NA
"CUCOS","1602",NA,NA,NA,NA,NA
"CUCOS","1603",NA,NA,NA,NA,NA
"CUCOS","1604",NA,NA,NA,NA,NA
"CUCOS","1605",NA,NA,NA,NA,NA
"CUCOS","1606",NA,NA,NA,NA,NA
"CUCOS","1607",NA,NA,NA,NA,NA
"CUCOS","1608",NA,NA,NA,NA,NA
"CUCOS","1609",NA,NA,NA,NA,NA
"CUCOS","1610",NA,NA,NA,NA,NA
"CUCOS","1611",NA,NA,NA,NA,NA
"CUCOS","1612",NA,NA,NA,NA,NA
"CUCOS","1613",NA,NA,NA,NA,NA
"CUCOS","1614",NA,NA,NA,NA,NA
"CUCOS","1615",NA,NA,NA,NA,NA
"CUCOS","1616",NA,NA,NA,NA,NA
"CUCOS","1635",NA,NA,NA,NA,NA
"CUCOS","1929",NA,NA,NA,NA,NA
"CUCOS","550",NA,NA,NA,NA,NA
"CUCOS","804",NA,NA,NA,NA,NA
"CUCOS","805",NA,NA,NA,NA,NA
"CUCOS","806",NA,NA,NA,NA,NA
"CUCOS","807",NA,NA,NA,NA,NA
"Café Capitan","1267",NA,NA,NA,NA,NA
"Café Capitan","1268",NA,NA,NA,NA,NA
"Café Capitan","1274",NA,NA,NA,NA,NA
"Café Capitan","1275",NA,NA,NA,NA,NA
"Café Capitan","1276",NA,NA,NA,NA,NA
"Café Capitan","1277",NA,NA,NA,NA,NA
"Café Capitan","1278",NA,NA,NA,NA,NA
"Café Capitan","1279",NA,NA,NA,NA,NA
"Café Capitan","1281",NA,NA,NA,NA,NA
"Café Capitan","1282",NA,NA,NA,NA,NA
"Café Capitan","345",NA,NA,NA,NA,NA
"Café Capitan","349",NA,NA,NA,NA,NA
"Café Capitan","350",NA,NA,NA,NA,NA
"Café Capitan","835",NA,NA,NA,NA,NA
"Café Capitan","869",NA,NA,NA,NA,NA
"Café Capitan","878",NA,NA,NA,NA,NA
"Café Capitan","879",NA,NA,NA,NA,NA
"Café Capitan","881",NA,NA,NA,NA,NA
"Café Capitan","885",NA,NA,NA,NA,NA
"Café Capitan","886",NA,NA,NA,NA,NA
"Café Capitan","887",NA,NA,NA,NA,NA
"Café Capitan","900",NA,NA,NA,NA,NA
"Café Capitan","901",NA,NA,NA,NA,NA
"Café Capitan","904",NA,NA,NA,NA,NA
"Café Capitan","906",NA,NA,NA,NA,NA
"Café Capitan","909",NA,NA,NA,NA,NA
"Emirate Nature - WWF","1915",NA,NA,NA,NA,NA
"Emirate Nature - WWF","2094",NA,NA,NA,NA,NA
"Emirate Nature - WWF","2231",NA,NA,NA,NA,NA
"Emirate Nature - WWF","488",NA,NA,NA,NA,NA
"Emirate Nature - WWF","489",NA,NA,NA,NA,NA
"FAFIALA","1795",NA,NA,NA,NA,NA
"FAFIALA","1796",NA,NA,NA,NA,NA
"FAFIALA","1797",NA,NA,NA,NA,NA
"FAFIALA","1799",454.836926478718,NA,NA,NA,NA
"FAFIALA","1800",7631.96777777778,NA,NA,NA,NA
"FAFIALA","1802",2007.065,NA,NA,NA,NA
"FAFIALA","1803",24958.7381061249,NA,NA,NA,NA
"FAFIALA","1804",326.444444444444,NA,NA,NA,NA
"FAFIALA","1805",11830.454801868,NA,NA,NA,NA
"FAFIALA","1806",9693.14631463146,NA,NA,NA,NA
"FAFIALA","1808",199.8,NA,NA,NA,NA
"FAFIALA","1809",10277.7777777778,NA,NA,NA,NA
"FAFIALA","1810",NA,NA,NA,NA,NA
"FAFIALA","1812",9564.07764974566,NA,NA,NA,NA
"FAFIALA","1813",4309.49266904953,NA,NA,NA,NA
"FAFIALA","1817",1904.7304730473,NA,NA,NA,NA
"FAFIALA","1818",6101.63144739832,NA,NA,NA,NA
"FAFIALA","1819",9229.18613063674,NA,NA,NA,NA
"FONCET","1313",NA,NA,NA,NA,NA
