"","size_class","Tree_type","Species","Timeframe","Site_ID","Tree_per_sq_30m","est_pl_dens"
"1","1-9.9cm","planted","Fedegoso","Y0","#40 - TEST",50,150
"2","1-9.9cm","planted","Ip̻ amarelo mirim","Y0","#40 - TEST",50,150
"3",">10cm","naturally_regenerating","Acacia polyacatha","Y0","180",1,225
"4","<1cm","planted","Alfzelia quenzesis","Y0","180",13500,225
"5","1-9.9cm","naturally_regenerating","Bauhia","Y0","180",100,0
"6",">10cm","naturally_regenerating","bauhinia","Y0","180",1.66666666666667,0
"7","1-9.9cm","naturally_regenerating","bauhinia","Y0","180",100,225
"8",">10cm","naturally_regenerating","Bauhinia","Y0","180",13.1666666666667,1350
"9","1-9.9cm","naturally_regenerating","Bauhinia","Y0","180",10100,5400
"10","1-9.9cm","planted","Bauhinia","Y0","180",3200,225
"11",">10cm","naturally_regenerating","Brachystigia","Y0","180",1,225
"12",">10cm","naturally_regenerating","Chiombo","Y0","180",3.33333333333333,450
"13","1-9.9cm","naturally_regenerating","Chisoyo","Y0","180",300,450
"14","1-9.9cm","naturally_regenerating","Chitimbe","Y0","180",1800,225
"15",">10cm","naturally_regenerating","Chiwombo","Y0","180",4,225
"16","1-9.9cm","naturally_regenerating","Faidherb albida","Y0","180",100,0
"17",">10cm","naturally_regenerating","Faidherbia albida","Y0","180",0.333333333333333,0
"18","1-9.9cm","naturally_regenerating","Faidherbia albida","Y0","180",3800,450
"19","<1cm","planted","Faidherbia albida","Y0","180",20700,225
"20","1-9.9cm","planted","Faidherbia albida","Y0","180",1150,225
"21",">10cm","naturally_regenerating","Fidherbia albida","Y0","180",0.333333333333333,0
"22","1-9.9cm","naturally_regenerating","Fidherbia albida","Y0","180",100,0
"23","<1cm","naturally_regenerating","Fig","Y0","180",900,225
"24",">10cm","naturally_regenerating","Fig","Y0","180",0.666666666666666,225
"25","1-9.9cm","naturally_regenerating","Fig","Y0","180",600,675
"26","1-9.9cm","naturally_regenerating","Katope","Y0","180",100,225
"27","1-9.9cm","naturally_regenerating","Kaumbwe","Y0","180",100,0
"28",">10cm","naturally_regenerating","Masuku","Y0","180",0.333333333333333,225
"29","1-9.9cm","naturally_regenerating","Masuku","Y0","180",600,450
"30","1-9.9cm","naturally_regenerating","Matowo","Y0","180",100,225
"31","1-9.9cm","planted","Matowo","Y0","180",800,225
"32","1-9.9cm","naturally_regenerating","Maula","Y0","180",100,0
"33","1-9.9cm","naturally_regenerating","Maviro","Y0","180",100,0
"34","1-9.9cm","planted","Maviro","Y0","180",900,225
"35","1-9.9cm","naturally_regenerating","Maviru","Y0","180",100,225
"36","1-9.9cm","naturally_regenerating","Mbawa","Y0","180",3700,225
"37","1-9.9cm","naturally_regenerating","Mkalakati","Y0","180",150,450
"38","1-9.9cm","naturally_regenerating","mkukhu","Y0","180",100,225
"39","1-9.9cm","naturally_regenerating","mlama","Y0","180",100,0
"40","1-9.9cm","naturally_regenerating","Mlama","Y0","180",100,225
"41",">10cm","planted","Mlonde","Y0","180",4,225
"42","1-9.9cm","naturally_regenerating","Mloro","Y0","180",200,0
"43",">10cm","planted","Mphakasa","Y0","180",10.3333333333333,225
"44",">10cm","naturally_regenerating","Mphangala","Y0","180",0.333333333333333,0
"45","1-9.9cm","naturally_regenerating","Mphangala","Y0","180",100,0
"46","1-9.9cm","naturally_regenerating","Msambafumu","Y0","180",700,225
"47","1-9.9cm","planted","Msambafumu","Y0","180",2800,225
"48",">10cm","planted","Msangu","Y0","180",7.66666666666667,225
"49","1-9.9cm","planted","Msangu","Y0","180",8500,225
"50",">10cm","naturally_regenerating","Msolo","Y0","180",0.333333333333333,225
"51","1-9.9cm","naturally_regenerating","Msolo","Y0","180",200,225
"52","1-9.9cm","naturally_regenerating","Msuku","Y0","180",1500,225
"53","1-9.9cm","naturally_regenerating","Mtanthanyelere","Y0","180",100,225
"54","<1cm","planted","Mtondo","Y0","180",13500,225
"55","1-9.9cm","naturally_regenerating","Muula","Y0","180",200,0
"56","1-9.9cm","naturally_regenerating","Muwula","Y0","180",50,225
"57",">10cm","planted","Mwavi","Y0","180",8,225
"58",">10cm","naturally_regenerating","Nkhadzi","Y0","180",0.666666666666667,0
"59",">10cm","naturally_regenerating","Uapaka kirkiana","Y0","180",5.33333333333333,450
"60","1-9.9cm","naturally_regenerating","Uapaka kirkiana","Y0","180",150,450
"61","1-9.9cm","naturally_regenerating","Uappaka kirkiana","Y0","180",50,225
"62","1-9.9cm","naturally_regenerating","Vitex Doniana","Y0","180",200,0
"63","<1cm","naturally_regenerating","Drypetes grandifolia","Y0","211",900,150
"64","<1cm","naturally_regenerating","Goniocheton arborescens","Y0","211",900,150
"65","<1cm","planted","Intsia bijuga","Y0","211",3600,600
"66","<1cm","naturally_regenerating","Leucosyke capitellata","Y0","211",900,150
"67","<1cm","naturally_regenerating","Swietenia foxworthyi","Y0","211",900,150
"68",">10cm","naturally_regenerating","Butea monosperma","Y0","273B1P1",11,269.097760417743
"69","1-9.9cm","planted","Butea monosperma","Y0","273B1P1",100,269.097760417743
"70","1-9.9cm","planted","D melonoxylon","Y0","273B1P1",100,269.097760417743
"71",">10cm","naturally_regenerating","Mangifera indica","Y0","273B1P1",18,0
"72","1-9.9cm","naturally_regenerating","Populus","Y0","Chant-255-23",200,100
"73","1-9.9cm","planted","Quercus robur","Y0","Chantilly",200,90
"74","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","Chantilly-255-16",100,90
"75","1-9.9cm","naturally_regenerating","Tibia cordata","Y0","Chantilly-255-16",500,90
"76","1-9.9cm","naturally_regenerating","Talia cordata","Y0","Chantilly-255-17",400,100
"77","1-9.9cm","naturally_regenerating","Quercus","Y0","Chantilly-255-18",200,100
"78","1-9.9cm","naturally_regenerating","Quercus","Y0","Chantilly-255-19",400,100
"79","1-9.9cm","naturally_regenerating","Sorbus aucuparia","Y0","Chantilly-255-19",200,100
"80","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","Chantilly-255-20",200,100
"81","1-9.9cm","naturally_regenerating","Quercus","Y0","Chantilly-255-20",300,100
"82","1-9.9cm","naturally_regenerating","Talia cordata","Y0","Chantilly-255-20",200,100
"83","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","Chantilly-255-22",200,100
"84","1-9.9cm","naturally_regenerating","Quercus","Y0","Chantilly-255-22",200,100
"85","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","Chantilly-255-24",400,100
"86","1-9.9cm","naturally_regenerating","Quercus","Y0","Chantilly-255-25",200,100
"87","1-9.9cm","naturally_regenerating","Carpinus","Y0","Chantilly-255-26",200,100
"88","1-9.9cm","naturally_regenerating","Populus sp","Y0","Chantilly-255-26",200,100
"89","1-9.9cm","planted","Quercus robur","Y0","Chantilly-451-40",300,0
"90","1-9.9cm","planted","Quercus robur","Y0","Chantilly-451-41",200,0
"91","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","Chantilly-451-42",200,0
"92","1-9.9cm","planted","Quercus robur","Y0","Chantilly-451-42",200,0
"93","1-9.9cm","planted","Sorbus torminalis","Y0","Chantilly-451-42",200,0
"94","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","Chantilly-451-43",100,0
"95","1-9.9cm","naturally_regenerating","Populus","Y0","Chantilly-451-43",300,0
"96","1-9.9cm","naturally_regenerating","Quercus robur","Y0","Chantilly-451-43",100,0
"97","1-9.9cm","planted","Quercus robur","Y0","Chantilly-451-43",200,0
"98","1-9.9cm","naturally_regenerating","Populis","Y0","Chantilly-451-44",400,0
"99","1-9.9cm","naturally_regenerating","Quercus robur","Y0","Chantilly-451-46",800,60
"100","1-9.9cm","naturally_regenerating","Acer campestris","Y0","Chantilly-51-1",300,90
"101","1-9.9cm","naturally_regenerating","Acer pseudoplatanus","Y0","Chantilly-51-3",600,0
"102","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","Chantilly-51-3",300,0
"103","1-9.9cm","naturally_regenerating","Prunus avium","Y0","Chantilly-51-3",200,0
"104","1-9.9cm","naturally_regenerating","Quercus","Y0","Chantilly-51-3",100,0
"105","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","Chantilly-51-4",100,0
"106","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","Chantilly-51-7",100,0
"107","1-9.9cm","naturally_regenerating","Quercus","Y0","Chantilly-523-28",400,90
"108","1-9.9cm","naturally_regenerating","Quercus","Y0","Chantilly-523-29",400,0
"109","1-9.9cm","planted","Larix decidua","Y0","Chantilly-523-30",200,0
"110","1-9.9cm","naturally_regenerating","Quercus","Y0","Chantilly-523-32",300,0
"111","1-9.9cm","planted","Douglas","Y0","Chantilly-523-34",200,0
"112","1-9.9cm","naturally_regenerating","Quercus","Y0","Chantilly-523-34",100,0
"113","1-9.9cm","naturally_regenerating","Quercus","Y0","Chantilly-523-35",300,0
"114","1-9.9cm","naturally_regenerating","Bauhinia","Y0","P35",100,225
"115",">10cm","planted","Acacia auriculiformis","Y0","Rr",2,400
"116","1-9.9cm","naturally_regenerating","Azadirachta indica","Y0","Rr",100,0
"117",">10cm","planted","Azadirachta indica","Y0","Rr",1,400
"118","1-9.9cm","planted","Tectona grandis","Y0","Rr",500,800
