"","size_class","Tree_type","Species","Timeframe","Plot_ID","Site_ID","Tree_per_sq_30m","est_pl_dens","year","num_survived2","percent_survived"
"1","1-9.9cm","planted","Fedegoso","Y0","Parcela 1","#40 - TEST",50,150,0,NA,NA
"2","1-9.9cm","planted","Ip̻ amarelo mirim","Y0","Parcela 1","#40 - TEST",50,150,0,NA,NA
"25",">10cm","planted","Mlonde","Y0","M17","180",4,225,0,NA,NA
"26",">10cm","planted","Mphakasa","Y0","M17","180",10.3333333333333,225,0,NA,NA
"27",">10cm","planted","Msangu","Y0","M17","180",7.66666666666667,225,0,NA,NA
"28",">10cm","planted","Mwavi","Y0","M17","180",8,225,0,NA,NA
"36","<1cm","planted","Alfzelia quenzesis","Y0","M23","180",13500,225,0,NA,NA
"37","<1cm","planted","Faidherbia albida","Y0","M23","180",20700,225,0,NA,NA
"39","<1cm","planted","Mtondo","Y0","M23","180",13500,225,0,NA,NA
"47","1-9.9cm","planted","Faidherbia albida","Y0","M34","180",1150,225,0,NA,NA
"48","1-9.9cm","planted","Matowo","Y0","M34","180",800,225,0,NA,NA
"49","1-9.9cm","planted","Maviro","Y0","M34","180",900,225,0,NA,NA
"51","1-9.9cm","planted","Bauhinia","Y0","M36","180",3200,225,0,NA,NA
"52","1-9.9cm","planted","Msambafumu","Y0","M36","180",2800,225,0,NA,NA
"53","1-9.9cm","planted","Msangu","Y0","M36","180",8500,225,0,NA,NA
"131","<1cm","planted","Intsia bijuga","Y0","Plot No. 002","211",900,150,0,NA,NA
"135","<1cm","planted","Intsia bijuga","Y0","Plot No. 008","211",900,150,0,NA,NA
"136","<1cm","planted","Intsia bijuga","Y0","Plot No. 009","211",900,150,0,NA,NA
"137","<1cm","planted","Intsia bijuga","Y0","Plot No. 010","211",900,150,0,NA,NA
"139","1-9.9cm","planted","Butea monosperma","Y0","273B1P1","273B1P1",100,269.097760417743,0,NA,NA
"140","1-9.9cm","planted","D melonoxylon","Y0","273B1P1","273B1P1",100,269.097760417743,0,NA,NA
"143","1-9.9cm","planted","Quercus robur","Y0","251-49","Chantilly",200,90,0,NA,NA
"159","1-9.9cm","planted","Quercus robur","Y0","41","Chantilly-451-40",300,0,0,NA,NA
"160","1-9.9cm","planted","Quercus robur","Y0","41","Chantilly-451-41",200,0,0,NA,NA
"162","1-9.9cm","planted","Quercus robur","Y0","42","Chantilly-451-42",200,0,0,NA,NA
"163","1-9.9cm","planted","Sorbus torminalis","Y0","42","Chantilly-451-42",200,0,0,NA,NA
"167","1-9.9cm","planted","Quercus robur","Y0","43","Chantilly-451-43",200,0,0,NA,NA
"179","1-9.9cm","planted","Larix decidua","Y0","30","Chantilly-523-30",200,0,0,NA,NA
"181","1-9.9cm","planted","Douglas","Y0","34","Chantilly-523-34",200,0,0,NA,NA
"186",">10cm","planted","Acacia auriculiformis","Y0","T5","Rr",2,400,0,NA,NA
"187",">10cm","planted","Azadirachta indica","Y0","T5","Rr",1,400,0,NA,NA
"188","1-9.9cm","planted","Tectona grandis","Y0","T5","Rr",500,800,0,NA,NA
