"query","family","db"
"Byrsonima crassifolia","Malpighiaceae","ncbi"
"Acacia caven","Fabaceae","ncbi"
"Dalbergia calderonii","Fabaceae","ncbi"
"Platymisciun dimhorphan",NA,NA
"Sapindus saponaria","Sapindaceae","ncbi"
"Psidium sartorianum","Myrtaceae","ncbi"
"Trichilia trifolia","Meliaceae","ncbi"
"Crescentia cujete","Bignoniaceae","ncbi"
"Erythrina coralloides","Fabaceae","ncbi"
"Ficus petiolaris","Moraceae","ncbi"
"Lonchocarpus rugosus","Fabaceae","ncbi"
"Ceiba pentandra","Malvaceae","ncbi"
"Perymenium grande","Asteraceae","ncbi"
"Cojoba arborea","Fabaceae","ncbi"
"Cochlolospermun vitifolium",NA,NA
"Guatemala",NA,NA
"Malpighia glabra","Malpighiaceae","ncbi"
"Leucaena esculenta","Fabaceae","ncbi"
"Prunus salicifolia","Rosaceae","ncbi"
"Psidium guajava","Myrtaceae","ncbi"
"Cupressus lusitanica lindleyi",NA,NA
"Citrus aurantiifolia","Rutaceae","ncbi"
"Pseudosmodingium multifolium",NA,NA
"Ternstroemia luquillensis",NA,NA
"Verbesina myriocephala","Asteraceae","ncbi"
"Platanus mexicana","Platanaceae","ncbi"
"Acacia collinsii","Fabaceae","ncbi"
"Vijao",NA,NA
"Manga","Noctuidae","ncbi"
"Folha composta",NA,NA
"Annonaceae","Annonaceae","ncbi"
"Néant",NA,NA
"guachipilin",NA,NA
"Guayaba",NA,NA
"Chalun",NA,NA
"Quercus skinneri","Fagaceae","ncbi"
"Ochroma pyramidale","Malvaceae","ncbi"
"Platanos",NA,NA
"Trompillo","Convolvulaceae","ncbi"
"Nispero",NA,NA
"Astronium graveolens","Anacardiaceae","ncbi"
"Ulmus","Ulmaceae","ncbi"
"Chicharo",NA,NA
"Ficus aurea","Moraceae","ncbi"
"Inga jinicuil","Fabaceae","ncbi"
"Calycophyllum candidissimum","Rubiaceae","ncbi"
"Annona macroprophyllata","Annonaceae","ncbi"
"Sideroxylon capiri","Sapotaceae","ncbi"
"Quercus candicans","Fagaceae","ncbi"
"Platymiscium dimorphandrum","Fabaceae","ncbi"
"Pitio",NA,NA
"Andira inermis","Fabaceae","ncbi"
"Ternstroemia lineata","Pentaphylacaceae","ncbi"
"Diospyros digyna","Ebenaceae","ncbi"
"Styrax argenteus","Styracaceae","ncbi"
"Coccoloba acapulcensis","Polygonaceae","ncbi"
"Chiranthodendron pentadactylon","Malvaceae","ncbi"
"Tabebuia donnell-smithii","Bignoniaceae","ncbi"
"Muntingia calabura","Muntingiaceae","ncbi"
"Manilkara zapota","Sapotaceae","ncbi"
"Litsea glaucescens","Lauraceae","ncbi"
"Chiombo",NA,NA
"Uapaca kirkiana","Phyllanthaceae","ncbi"
"Chiwombo",NA,NA
"No",NA,NA
"Ficus","Moraceae","ncbi"
"Nkhadzi",NA,NA
"Semecarpus cuneiformis",NA,NA
"Homalanthus populneus","Euphorbiaceae","ncbi"
"Carallia borneensis",NA,NA
"Pterospermum diversifolium",NA,NA
"Garcinia forbesii","Clusiaceae","ncbi"
"Cratoxylum sumatranum","Hypericaceae","ncbi"
"Syzygium costulatum",NA,NA
"Canarium luzonicum",NA,NA
"Barringtonia asiatica","Lecythidaceae","ncbi"
"Ficus nota","Moraceae","ncbi"
"Macaranga grandifolia","Euphorbiaceae","ncbi"
"Nephelium lappaceum","Sapindaceae","ncbi"
"Polyscias nodosa","Araliaceae","ncbi"
"Pterocymbium tinctorium","Malvaceae","ncbi"
"Parkia timoriana","Fabaceae","ncbi"
"Syzygium xanthophyllum",NA,NA
"Lagerstroemia speciosa","Lythraceae","ncbi"
"Vitex","Lamiaceae","ncbi"
"Koordersiodendron pinnatum",NA,NA
"Diospyros pyrrhocarpa","Ebenaceae","ncbi"
"Artocarpus ovatus","Moraceae","ncbi"
"Omalanthus fastuosus",NA,NA
"Dysoxylum gaudichaudianum","Meliaceae","ncbi"
"Gomphandra luzoniensis","Stemonuraceae","ncbi"
"Azadirachta excelsa","Meliaceae","ncbi"
"Masuku",NA,NA
"O",NA,NA
"Brachystegia","Fabaceae","ncbi"
"Croton urucurana","Euphorbiaceae","ncbi"
"Saurauia serrata","Actinidiaceae","ncbi"
"Fouquieria splendens","Fouquieriaceae","ncbi"
"Schinopsis balansae","Anacardiaceae","ncbi"
"Persea schiedeana","Lauraceae","ncbi"
"Euphorbia macvaughii","Euphorbiaceae","ncbi"
"Callistemon citrinus","Myrtaceae","ncbi"
"Trophis racemosa","Moraceae","ncbi"
"Homalium trichostemon",NA,NA
"Nectandra leucantha","Lauraceae","ncbi"
"Thouinidium decandrum","Sapindaceae","ncbi"
"Juniperus squamata","Cupressaceae","ncbi"
"Ficus benjamina","Moraceae","ncbi"
"Gynostemma pentaphyllum","Cucurbitaceae","ncbi"
"Syzygium jambos","Myrtaceae","ncbi"
"Dorstenia brasiliensis","Moraceae","ncbi"
"Brosimum","Moraceae","ncbi"
"Ficus insipida","Moraceae","ncbi"
"Rhodamnia rubescens","Myrtaceae","ncbi"
"Pseudobombax ellipticum","Malvaceae","ncbi"
"Haematoxylum brasiletto","Fabaceae","ncbi"
"Genipa americana","Rubiaceae","ncbi"
"Nectandra lineata","Lauraceae","ncbi"
"Theobroma bicolor","Malvaceae","ncbi"
"Inga","Fabaceae","ncbi"
"Amphipterygium adstringens","Anacardiaceae","ncbi"
"Citrus reticulata","Rutaceae","ncbi"
"Aquilaria sinensis","Thymelaeaceae","ncbi"
"Quercus subspathulata","Fagaceae","ncbi"
"Quercus devia","Fagaceae","ncbi"
"Sebastiania brasiliensis","Euphorbiaceae","ncbi"
"Hamelia patens","Rubiaceae","ncbi"
"Trema micrantha","Cannabaceae","ncbi"
"Nectandra","Lauraceae","ncbi"
"Fouquieria ochoterenae","Fouquieriaceae","ncbi"
"Hymenaea courbaril","Fabaceae","ncbi"
"Annona muricata","Annonaceae","ncbi"
"Ficus carica","Moraceae","ncbi"
"Cedrus","Pinaceae","ncbi"
"Prunus domestica","Rosaceae","ncbi"
"Annona cherimola","Annonaceae","ncbi"
"Persea mutisii","Lauraceae","ncbi"
"Acacia cochliacantha","Fabaceae","ncbi"
"Acacia farnesiana","Fabaceae","ncbi"
"Pterocarpus","Fabaceae","ncbi"
"Heliocarpus donnellsmithii","Malvaceae","ncbi"
"Vachellia collinsii","Fabaceae","ncbi"
"Zanthoxylum riedelianum","Rutaceae","ncbi"
"Spondias purpurea","Anacardiaceae","ncbi"
"Sterculia comosa",NA,NA
"Mangifera altissima","Anacardiaceae","ncbi"
"Barringtonia macrostachya","Lecythidaceae","ncbi"
"Aglaia rimosa","Meliaceae","ncbi"
"Mallotus philippensis","Euphorbiaceae","ncbi"
"Macaranga tanarius","Euphorbiaceae","ncbi"
"Ficus minahassae","Moraceae","ncbi"
"Myristica fatua","Myristicaceae","ncbi"
"Cinnamomum","Lauraceae","ncbi"
"Canthium dicoccum","Rubiaceae","ncbi"
"Canarium asperum",NA,NA
"Ficus variegata","Moraceae","ncbi"
"Gnetum gnemon","Gnetaceae","ncbi"
"Alstonia macrophylla","Apocynaceae","ncbi"
"Syzygium curranii",NA,NA
"Eugenia rhombea","Myrtaceae","ncbi"
"Palaquium tenuipetiolatum",NA,NA
"Anacardium occidentale","Anacardiaceae","ncbi"
"Sandoricum koetjape","Meliaceae","ncbi"
"Melanolepis multiglandulosa","Euphorbiaceae","ncbi"
"Cryptocarya acuminata",NA,NA
"Nauclea orientalis","Rubiaceae","ncbi"
"Eugenia jambolana","Myrtaceae","ncbi"
"Assang",NA,NA
"Millettia laurentii","Fabaceae","ncbi"
"Ontang",NA,NA
"Piptadeniastrum africanum","Fabaceae","ncbi"
"Maesopsis","Rhamnaceae","ncbi"
"Afromosia","Asilidae","ncbi"
"Maesopsis eminii","Rhamnaceae","ncbi"
"Nguba mindele",NA,NA
"Nguba",NA,NA
"Ricinodendron heudelotii","Euphorbiaceae","ncbi"
"Onkok",NA,NA
"Cassia","Fabaceae","ncbi"
"Ngumba mindele",NA,NA
"Pericopsis elata","Fabaceae","ncbi"
"Canarium","Burseraceae","ncbi"
"Safout foret",NA,NA
"Ricinodendron africanum",NA,NA
"Padouk",NA,NA
"Milletia","Fabaceae","ncbi"
"Ngumba",NA,NA
"Ngylo",NA,NA
"Ricinodendron","Euphorbiaceae","ncbi"
"Uapaca mole",NA,NA
"Milicia excelsa","Moraceae","ncbi"
"Nonoka",NA,NA
"Kisaka",NA,NA
"Pas darbres plus de 10cm",NA,NA
"Saf de la forêt",NA,NA
"Nsaf de la forêt",NA,NA
"Pachira aquatica","Malvaceae","ncbi"
"Croton mubango",NA,NA
"Canarium schweinfurtii","Burseraceae","ncbi"
"Dialium pachyphyllum","Fabaceae","ncbi"
"Uapaca","Phyllanthaceae","ncbi"
"Erythrophleum","Fabaceae","ncbi"
"Pentaclethra","Fabaceae","ncbi"
"Dacryodes normandii","Burseraceae","ncbi"
"Guibourtia demeusei","Fabaceae","ncbi"
"Pterocarpus soyauxii","Fabaceae","ncbi"
"Evea brasiliensis",NA,NA
"Erythrophleum ivorense","Fabaceae","ncbi"
"Prioria balsamifera","Fabaceae","ncbi"
"Leucena cena 1",NA,NA
"Hevea","Euphorbiaceae","ncbi"
"Adenanthera pavonina","Fabaceae","ncbi"
"Millettia drastica","Fabaceae","ncbi"
"Ongokea gore","Aptandraceae","ncbi"
"Musanga","Urticaceae","ncbi"
"Musanga cecropioides","Urticaceae","ncbi"
"Tetraberlinia bifoliolata","Fabaceae","ncbi"
"Parkia bicolor","Fabaceae","ncbi"
"Oncoba welwitschii",NA,NA
"Cekyoprodes",NA,NA
"Cekioprodes",NA,NA
"Bobgunnia fistuloides","Fabaceae","ncbi"
"Millettia soyauxii","Fabaceae","ncbi"
"Laecena cena",NA,NA
"Mwana mpembe",NA,NA
"Prioria","Fabaceae","ncbi"
"Bois noir 20Piptodeniastrum africanum",NA,NA
"5",NA,NA
"Owes 29Bois noir 3Osing 4Maesopsi 9Casia ciamea 13Total 58",NA,NA
"Osing 40Bois noir 6Oniel 4Casia ciamea 4Owes 25Total 77",NA,NA
"Paramacrolobium","Fabaceae","ncbi"
"Autranella congolensis","Sapotaceae","ncbi"
"Celtis tessmannii","Cannabaceae","ncbi"
"Gilbertiodendron dewevrei","Fabaceae","ncbi"
"Leplaea cedrata","Meliaceae","ncbi"
"Osing  2",NA,NA
"Tetrapleura tetraptera","Fabaceae","ncbi"
"Hymenocardia acida","Phyllanthaceae","ncbi"
"Albizia adianthifolia","Fabaceae","ncbi"
"Menocardia",NA,NA
"Baillonella toxisperma","Sapotaceae","ncbi"
"Kikos",NA,NA
"Lesena",NA,NA
"Vermoxe",NA,NA
"Bois noir",NA,NA
"Bois noir 36",NA,NA
"Bois noir 50",NA,NA
"Senna siamea","Fabaceae","ncbi"
"Acacia floribunda","Fabaceae","ncbi"
"Entandrophragma cylindricum","Meliaceae","ncbi"
"Prioria oxyphylla","Fabaceae","ncbi"
"Evea",NA,NA
"Guibourtia","Fabaceae","ncbi"
"Dialium","Fabaceae","ncbi"
"Bobgunnia","Fabaceae","ncbi"
"Gilbertiodendron","Fabaceae","ncbi"
"Pycnanthus angolensis","Myristicaceae","ncbi"
"Ficus tiliifolia","Moraceae","ncbi"
"ghh",NA,NA
"À",NA,NA
"Grevillea banksii","Proteaceae","ncbi"
"Akondro",NA,NA
"L",NA,NA
"Grevellia",NA,NA
"Monoporus paludosus","Primulaceae","ncbi"
"Xylopia humblotiana","Annonaceae","ncbi"
"Syzygium parkeri",NA,NA
"Tambourissa baronii",NA,NA
"Eugenia jambosa",NA,NA
"Syzygium guineense","Myrtaceae","ncbi"
"Thecacoris cometia","Phyllanthaceae","ncbi"
"Eucalyptus camaldulensis","Myrtaceae","ncbi"
"Melia azedarach","Meliaceae","ncbi"
"Grevillia",NA,NA
"Albizia perrieri","Fabaceae","ncbi"
"Brachylaena","Asteraceae","ncbi"
"Grevillia robusta",NA,NA
"Pinus patula","Pinaceae","ncbi"
"Asteropeia micraster","Asteropeiaceae","ncbi"
"Quiebra coyol",NA,NA
"Centrolobium ochroxylum","Fabaceae","ncbi"
"Aspidosperma cruentum","Apocynaceae","ncbi"
"Torongil",NA,NA
"Ehretia latifolia","Ehretiaceae","ncbi"
"Manzana de mono",NA,NA
"Cajoncillo",NA,NA
"Inga paterno","Fabaceae","ncbi"
"Capulin blanco",NA,NA
"Canaco",NA,NA
"Amate",NA,NA
"Chote",NA,NA
"Caspirol",NA,NA
"Guarumbo","Urticaceae","ncbi"
"mano de León",NA,NA
"Terminalia oblonga","Combretaceae","ncbi"
"Cecropia obtusifolia","Urticaceae","ncbi"
"Cajete",NA,NA
"Vernonia deppeana","Asteraceae","ncbi"
"Pino",NA,NA
"Palo de agua",NA,NA
"Igueria",NA,NA
"Aspidosperma megalocarpon","Apocynaceae","ncbi"
"Polygonum punctatum","Polygonaceae","ncbi"
"Malus pumila","Rosaceae","ncbi"
"Kunnt",NA,NA
"Capulin de paloma",NA,NA
"Gyrocarpus americanus","Hernandiaceae","ncbi"
"Pitavia punctata","Rutaceae","ncbi"
"Chalum blanco",NA,NA
"Chaperla",NA,NA
"Caridea",NA,NA
"Laurus nobilis","Lauraceae","ncbi"
"Lombricillo",NA,NA
"Chalum",NA,NA
"Annona","Annonaceae","ncbi"
"Acrocomia vinifera",NA,NA
"Melissa officinalis","Lamiaceae","ncbi"
"Hippomane","Euphorbiaceae","ncbi"
"Dracaena cinnabari","Asparagaceae","ncbi"
"Portoricensis pittier",NA,NA
"Schizolobium parahyba","Fabaceae","ncbi"
"Lonchocarpus yoroensis",NA,NA
"Citronella mucronata","Cardiopteridaceae","ncbi"
"Caesalpinia parahyba",NA,NA
"Ternstroemia huasteca","Pentaphylacaceae","ncbi"
"Persicaria punctata","Polygonaceae","ncbi"
"Tabebuia","Bignoniaceae","ncbi"
"Calophyllum brasiliense","Calophyllaceae","ncbi"
"Ocotea","Lauraceae","ncbi"
"Inga micheliana",NA,NA
"Lippia myriocephala","Verbenaceae","ncbi"
"Saurauia madrensis","Actinidiaceae","ncbi"
"Andira","Fabaceae","ncbi"
"Coccoloba","Polygonaceae","ncbi"
"Acacia cornigera","Fabaceae","ncbi"
"Cecropia","Urticaceae","ncbi"
"Randia","Rubiaceae","ncbi"
"Cojoba","Fabaceae","ncbi"
"Platymiscium yucatanum","Fabaceae","ncbi"
"Croton","Euphorbiaceae","ncbi"
"Camaron",NA,NA
"Conocarpus erectus","Combretaceae","ncbi"
"Acacia","Fabaceae","ncbi"
"Burócrata cimaruba",NA,NA
"Anona",NA,NA
"Chrysophyllum mexicanum","Sapotaceae","ncbi"
"Citrus latifolia","Rutaceae","ncbi"
"Eysenhardtia adenostylis","Fabaceae","ncbi"
"Piscidia","Fabaceae","ncbi"
"Citrus paradisi","Rutaceae","ncbi"
"Annona reticulata","Annonaceae","ncbi"
"Guarea grandifolia","Meliaceae","ncbi"
"Nectandra membranacea","Lauraceae","ncbi"
"Annona purpurea","Annonaceae","ncbi"
"Parmentiera aculeata","Bignoniaceae","ncbi"
"Aguacatillo",NA,NA
"Macuil",NA,NA
"Coralillo",NA,NA
"Cacao","Malvaceae","ncbi"
"Cuil",NA,NA
"Purshia mexicana","Rosaceae","ncbi"
"Zapote negro",NA,NA
"Huanche",NA,NA
"Huanchal",NA,NA
"Tejon",NA,NA
"Frijolillo","Fabaceae","ncbi"
"Palo de piedra",NA,NA
"Palo de obo",NA,NA
"Guanabana","Annonaceae","ncbi"
"Caulote",NA,NA
"Guanaba",NA,NA
"Aguacate",NA,NA
"Ceiba","Malvaceae","ncbi"
"Juan diego",NA,NA
"Cedro blanco",NA,NA
"Huarumbo",NA,NA
"Theobroma","Malvaceae","ncbi"
"Chico negrito",NA,NA
"Palo de tinta",NA,NA
"Sanhualico",NA,NA
"Musa paradisiaca","Musaceae","ncbi"
"Macuite",NA,NA
"Palo tejon",NA,NA
"Escobillo",NA,NA
"Rabo de iguana",NA,NA
"Huarunbo",NA,NA
"Mulato",NA,NA
"Chico zapoteVoladorJuizte",NA,NA
"Palo de copal",NA,NA
"Pouteria glomerata","Sapotaceae","ncbi"
"Palo de hormiga",NA,NA
"Pata de gallo",NA,NA
"Pipe",NA,NA
"Pato de gallo",NA,NA
"Pouteria sapota","Sapotaceae","ncbi"
"Achiote montés",NA,NA
"Monstera deliciosa","Araceae","ncbi"
"Piscielia piscipule (amarillo)",NA,NA
"Guirsiña",NA,NA
"Piscidia piscipula","Fabaceae","ncbi"
"Majahua",NA,NA
"Pipi",NA,NA
"Cordia megalantha","Cordiaceae","ncbi"
"Cupania guatemalensis","Sapindaceae","ncbi"
"Barbasco blanco",NA,NA
"Espina",NA,NA
"Zanthoxylum fagara","Rutaceae","ncbi"
"Arbol desconocido no identificado",NA,NA
"Majauhua de pinolillo",NA,NA
"Majahua de tuza.",NA,NA
"Frutilla",NA,NA
"Arbol de ahuate (arbol desconocido no identificado)",NA,NA
"Bixa orellana","Bixaceae","ncbi"
"Mora","Fabaceae","ncbi"
"Pipi (desconocido no identificado)",NA,NA
"Arbol amarillo (desconocido no.identificado)",NA,NA
"Morus","Moraceae","ncbi"
"Corpo",NA,NA
"Vochysia vismiifolia",NA,NA
"Arbol de calabaza desconocido no identificado",NA,NA
"Chrysobalanus icaco","Chrysobalanaceae","ncbi"
"Arbol colorado desconocido no identificado",NA,NA
"Pipi desconocido no identificado",NA,NA
"Arbol amarillo desconocido no identificado",NA,NA
"Cordia elaeagnoides","Cordiaceae","ncbi"
"Bursera","Burseraceae","ncbi"
"Arbol desconicido no identificado",NA,NA
"Prunus webbii","Rosaceae","ncbi"
"Juan he",NA,NA
"Terminalia microcarpa","Combretaceae","ncbi"
"Guioa pleuropteris",NA,NA
"Aglaia luzoniensis","Meliaceae","ncbi"
"Mussaenda philippica","Rubiaceae","ncbi"
"Drypetes grandifolia",NA,NA
"Dalbergia melanoxylon","Fabaceae","ncbi"
"Alicia","Malpighiaceae","ncbi"
"Tecoma stans","Bignoniaceae","ncbi"
"Senna macranthera","Fabaceae","ncbi"
"Beilschmiedia","Lauraceae","ncbi"
"Mphangala",NA,NA
"Kaumbwe",NA,NA
"mlama",NA,NA
"Chisoyo",NA,NA
"Maviru",NA,NA
"Mtanthanyelere",NA,NA
"mkukhu",NA,NA
"Msuku",NA,NA
"Muula",NA,NA
"Mlama",NA,NA
"1",NA,NA
"Maviro",NA,NA
"Vitex doniana","Lamiaceae","ncbi"
"Mloro",NA,NA
"Katope",NA,NA
"Muwula",NA,NA
"Mkalakati",NA,NA
"Maula","Myrmeleontidae","ncbi"
"Uappaka kirkiana",NA,NA
"Coffe",NA,NA
"Jatropha gossypiifolia","Euphorbiaceae","ncbi"
"Homalium","Salicaceae","ncbi"
"Lonchocarpus xuul",NA,NA
"Dalbergia calycina","Fabaceae","ncbi"
"Theobroma cacao","Malvaceae","ncbi"
"Garcinia smeathmanii",NA,NA
"Swietenia macrophylla","Meliaceae","ncbi"
"Syzygium phanerophlebium",NA,NA
"Thilachium verrucosum",NA,NA
"Dalbergia monticola","Fabaceae","ncbi"
"ghhh",NA,NA
"Eriobotrya","Rosaceae","ncbi"
"Majidea zanguebarica","Sapindaceae","ncbi"
"Croton noronhae","Euphorbiaceae","ncbi"
"Punis",NA,NA
"Desmodium barbatum","Fabaceae","ncbi"
"Canarium madagascariense","Burseraceae","ncbi"
"Aloe serra",NA,NA
"Euphorbia tulearensis","Euphorbiaceae","ncbi"
"Uapaca thouarsii","Phyllanthaceae","ncbi"
"Desmodium","Fabaceae","ncbi"
"Voapika aluaudi",NA,NA
"Luxa capitata",NA,NA
"Clidemia hirta","Melastomataceae","ncbi"
"Diospyros","Ebenaceae","ncbi"
"Thilachium sumangui",NA,NA
"Philippia floribunda",NA,NA
"Entada","Fabaceae","ncbi"
"Rourea orientalis","Connaraceae","ncbi"
"Cestrum nocturnum","Solanaceae","ncbi"
"Chamaedorea elegans","Arecaceae","ncbi"
"Arbol bejuco, no conocido",NA,NA
"Myrciaria floribunda","Myrtaceae","ncbi"
"Chamaedorea tepejilote","Arecaceae","ncbi"
"Casiría Corymbosa",NA,NA
"Lombricera",NA,NA
"Chichicasle",NA,NA
"Caca lol",NA,NA
"Sycamore",NA,NA
"Cornus amomum","Cornaceae","ncbi"
"Acer rubrum","Sapindaceae","ncbi"
"Rhus typhina","Anacardiaceae","ncbi"
"Rhus copallinum","Anacardiaceae","ncbi"
"Liriodendron tulipifera","Magnoliaceae","ncbi"
"Caco",NA,NA
"Ninguno",NA,NA
"Trichilia havanensis","Meliaceae","ncbi"
"Arbol desconocido (no identificado de calabaza)",NA,NA
"Leucosyke capitellata","Urticaceae","ncbi"
"Ficus septica","Moraceae","ncbi"
"Lambinana (nom scientifique ?)",NA,NA
"Vernonia glutinosa","Asteraceae","ncbi"
"Trema orientale","Cannabaceae","ncbi"
"Fandridambo",NA,NA
"Syzygium","Myrtaceae","ncbi"
"MN",NA,NA
"RAS",NA,NA
"Philippia madagascariensis",NA,NA
"fdf",NA,NA
"Plumeria rubra","Apocynaceae","ncbi"
"Jirofo",NA,NA
"Buddleja madagascariensis","Scrophulariaceae","ncbi"
"Pas despèces de 1 à 9,9 cm (DHP)",NA,NA
"Lambinana ( nom scientifique??)",NA,NA
"Autre espèce",NA,NA
"Cnestis polyphylla","Connaraceae","ncbi"
"Non",NA,NA
"vosefaka",NA,NA
"volomborona",NA,NA
"fotsiambo kijejalahy",NA,NA
"Voapika",NA,NA
"Astéraceas",NA,NA
"Jusrica sp",NA,NA
"Olax glabriflora",NA,NA
"Eugénie off. Cloiselli",NA,NA
"Asplenium pellucidum","Aspleniaceae","ncbi"
"none",NA,NA
"Fucus","Fucaceae","ncbi"
"Erica","Ericaceae","ncbi"
