"","Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","destination_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe","submitted_species_name","name_validation","score","data_source_title"
"1","Palo de canela silvestre",NA,2,NA,"1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",93,2288,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de canela silvestre","Needs Review",NA,NA
"2","Palo de leche amarillo","Present",1,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",115,2293,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de leche amarillo","Needs Review",NA,NA
"3","Palo de pajarito","Present",9,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",122,2294,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de pajarito","Needs Review",NA,NA
"4","Douglas","planted",2,"<10cm planted","329","34","France","Reforest Action","Restoration","Restoration","3x3",16,18,"main","Nested_3x3_within_30x30",NA,"Permanent",0,0,"Same que 28","Y0","Douglas","Needs Review",NA,NA
"5",NA,"Present",NA,"1 - 9.9cm","488","R1","UAE","Emirate Nature - WWF","Restoration","Restoration","3x3",46,40,"main","Nested_3x3_within_30x30",NA,"Permanent",0,0,"50cm above and below existing mangrove line in a zig zag formation. In areas where soils get inundated further inland, a further row of mangroves are planted in a 50cm pattern above the upper line of mangroves","Y0",NA,"Needs Review",NA,NA
"6","Fraises exelsion","Present",1,"1 - 9.9cm","329","31","France","Reforest Action","Restoration","Restoration","3x3",NA,15,NA,"main","Nested_3x3_within_30x30","Permanent",0,0,"Same as 28","Y0","Fraises exelsion","Needs Review",NA,NA
"7",NA,"planted",NA,"<10cm planted","333","46","France","Reforest Action","Restoration","Restoration","30x30",1,4,"main","Normal_30x30_2",NA,"Permanent",0,0,"Plantation tous les 3 mètre avec cloiso de 5m","Y0",NA,"Needs Review",NA,NA
"8","Pas darbres inventoriées : Plus de 10cm(DBH)",NA,NA,NA,"1760","ATKC004","Madagascar","CI Madagascar","Control","Control","30x30",75,61,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","Pas d'arbres inventoriées : Plus de 10cm(DBH)","Needs Review",NA,NA
"9","Pas darbres plus de 10cm (DBH)",NA,NA,NA,"1759","ATKC003","Madagascar","CI Madagascar","Control","Control","30x30",76,62,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","Pas d'arbres plus de 10cm (DBH)","Needs Review",NA,NA
"10","pas despece",NA,NA,NA,"1761","ATKC005","Madagascar","CI Madagascar","Control","Control","30x30",77,63,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","pas d'espece","Needs Review",NA,NA
"11",NA,"Present",NA,">10cm","901","901-3","Mexico","Café Capitan","Restoration","Restoration","30x30",231,96,"main","Normal_30x30_2",NA,"Permanent",0,0,"3x3","Y0",NA,"Needs Review",NA,NA
"12","Vijao","Present",1,">10cm","349","349-3","Mexico","Café Capitan","Restoration","Restoration","30x30",253,100,"main","Normal_30x30_2",NA,"Permanent",0,0,"3x3","Y0","Vijao","Needs Review",NA,NA
"13","Folha composta","Present",2,">10cm","40","Parcela 1","Brazil","GANB","Restoration","Restoration","30x30",265,104,"main","Normal_30x30_2",NA,"Permanent",0,1,"3x2","Y0","Folha composta","Needs Review",NA,NA
"14","Néant",NA,NA,NA,"1744","S0001CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",268,106,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","Néant","Needs Review",NA,NA
"15","None",NA,NA,NA,"1766","S0023CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",271,109,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"16","guachipilin",NA,4,NA,"1281","1281-2","Mexico","Café Capitan","Restoration","Restoration","30x30",328,158,"main","Normal_30x30_2",NA,"Permanent",0,0,"3*2","Y0","
guachipilin","Needs Review",NA,NA
"17","Chalun",NA,6,NA,"1281","1281-2","Mexico","Café Capitan","Restoration","Restoration","30x30",331,158,"main","Normal_30x30_2",NA,"Permanent",0,0,"3*2","Y0","Chalun","Needs Review",NA,NA
"18","Trompillo",NA,1,NA,"1269","1269+1","Mexico","Café Capitan","Restoration","Restoration","30x30",381,184,"main","Normal_30x30_2",NA,"Permanent",0,0,"2×3","Y0","Trompillo","Needs Review",NA,NA
"19","Chicharo","Present",1,">10cm","1313","1313-2","Mexico","FONCET","Restoration","Restoration","30x30",395,191,"main","Normal_30x30_2",NA,"Permanent",0,0,"1.5 metros x 2.0 metros","Y0","Chicharo","Needs Review",NA,NA
"20","Pitio","Present",1,">10cm","1400","1400 _2","Mexico","FONCET","Restoration","Restoration","30x30",503,215,"main","Normal_30x30_2",NA,"Permanent",0,0,"Tres metros por tres  metros","Y0","Pitio","Needs Review",NA,NA
"21","Chiombo","naturally_regenerating",1,">10cm","180","P6
","Malawi","Wells for Zoe","Control","Control","30x30",651,247,"main","Normal_30x30_2",NA,NA,0,0,NA,"Y0","Chiombo","Needs Review",NA,NA
"22",NA,"naturally_regenerating",NA,">10cm","180","M1","Malawi","Wells for Zoe","Control","Control","30x30",653,249,"main","Normal_30x30_2",NA,NA,0,0,NA,"Y0",NA,"Needs Review",NA,NA
"23","Chiwombo","naturally_regenerating",12,">10cm","180","M16","Malawi","Wells for Zoe","Restoration","Restoration","30x30",659,272,"main","Normal_30x30_2",NA,"Randomized",2,2,"2m by 2m","Y0","Chiwombo","Needs Review",NA,NA
"24","Msolo","naturally_regenerating",1,">10cm","180","M16","Malawi","Wells for Zoe","Restoration","Restoration","30x30",660,272,"main","Normal_30x30_2",NA,"Randomized",2,2,"2m by 2m","Y0","Msolo","Needs Review",NA,NA
"25","No",NA,NA,NA,"180","P 15","Malawi","Wells for Zoe","Control","Control","30x30",661,274,"main","Normal_30x30_2",NA,NA,0,0,NA,"Y0","No","Needs Review",NA,NA
"26","Msangu","planted",23,"<10cm planted","180","M17","Malawi","Wells for Zoe","Restoration","Restoration","30x30",666,280,"main","Normal_30x30_2",NA,"Randomized",2,2,"2m by 2m","Y0","Msangu","Needs Review",NA,NA
"27","Mphakasa","planted",31,"<10cm planted","180","M17","Malawi","Wells for Zoe","Restoration","Restoration","30x30",667,280,"main","Normal_30x30_2",NA,"Randomized",2,2,"2m by 2m","Y0","Mphakasa","Needs Review",NA,NA
"28","Mlonde","planted",12,"<10cm planted","180","M17","Malawi","Wells for Zoe","Restoration","Restoration","30x30",668,280,"main","Normal_30x30_2",NA,"Randomized",2,2,"2m by 2m","Y0","Mlonde","Needs Review",NA,NA
"29","Mwavi","planted",24,"<10cm planted","180","M17","Malawi","Wells for Zoe","Restoration","Restoration","30x30",669,280,"main","Normal_30x30_2",NA,"Randomized",2,2,"2m by 2m","Y0","Mwavi","Needs Review",NA,NA
"30","Nkhadzi","naturally_regenerating",2,">10cm","180","P16","Malawi","Wells for Zoe","Control","Control","30x30",672,285,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","Nkhadzi","Needs Review",NA,NA
"31","0",NA,NA,NA,"180","M28","Malawi","Wells for Zoe","Control","Control","30x30",742,296,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","0","Needs Review",NA,NA
"32","Masuku","naturally_regenerating",1,">10cm","180","M43","Malawi","Wells for Zoe","Restoration","Restoration","30x30",745,303,"main","Normal_30x30_2",NA,"Permanent",1,2,"2m by 2m","Y0","Masuku","Needs Review",NA,NA
"33","O",NA,0,NA,"180","M38","Malawi","Wells for Zoe","Control","Control","30x30",748,313,"main","Normal_30x30_2",NA,NA,0,1,NA,"Y0","O","Needs Review",NA,NA
"34",NA,"Present",NA,">10cm","1225","1225-1","Mexico","Macuiles","Restoration","Restoration","30x30",884,339,"main","Normal_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 6m por 6m.","Y0",NA,"Needs Review",NA,NA
"35","Assang","planted",1,"<10cm planted","96","B10","DRC","Faja Lobi","Restoration","Restoration","30x30",1131,380,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Assang","Needs Review",NA,NA
"36","Ontang","planted",1,"<10cm planted","96","B10","DRC","Faja Lobi","Restoration","Restoration","30x30",1133,380,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Ontang","Needs Review",NA,NA
"37","Afromosia","planted",16,"<10cm planted","96","B10.3","DRC","Faja Lobi","Restoration","Restoration","30x30",1140,382,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Afromosia","Needs Review",NA,NA
"38","Nguba mindele","planted",4,"<10cm planted","96","B10.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1151,383,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Nguba mindele","Needs Review",NA,NA
"39","Nguba","planted",13,"<10cm planted","96","B10.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1156,384,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Nguba","Needs Review",NA,NA
"40","Onkok","planted",2,"<10cm planted","96","B10.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1167,386,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Onkok","Needs Review",NA,NA
"41","Ngumba mindele","planted",1,"<10cm planted","96","B9.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1202,393,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Ngumba mindele","Needs Review",NA,NA
"42","Safout foret","planted",1,"<10cm planted","96","B1","DRC","Faja Lobi","Restoration","Restoration","30x30",1224,397,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Safout foret","Needs Review",NA,NA
"43","Padouk","planted",12,"<10cm planted","96","B1.3","DRC","Faja Lobi","Restoration","Restoration","30x30",1231,399,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Padouk","Needs Review",NA,NA
"44","Ngumba","planted",14,"<10cm planted","96","B1.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1239,400,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Ngumba","Needs Review",NA,NA
"45","Ngylo","planted",3,"<10cm planted","96","B1.9","DRC","Faja Lobi","Restoration","Restoration","30x30",1261,404,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Ngylo","Needs Review",NA,NA
"46","Nonoka","Present",2,">10cm","1797","ASVCO54 AUTO","Madagascar","CI Madagascar","Restoration","Control","30x30",1314,414,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","Nonoka","Needs Review",NA,NA
"47","Kisaka","Present",1,">10cm","1797","ASVCO54 AUTO","Madagascar","CI Madagascar","Restoration","Control","30x30",1315,414,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","Kisaka","Needs Review",NA,NA
"48","Pas darbres plus de 10cm",NA,NA,NA,"1835","S0092CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",1319,418,"main","Normal_30x30_2",NA,NA,0,0,NA,"Y0","Pas d'arbres plus de 10cm","Needs Review",NA,NA
"49","Saf de la forêt","planted",NA,"<10cm planted","96","B3.1","DRC","Faja Lobi","Restoration","Restoration","30x30",1327,421,"main","Normal_30x30_2",NA,"Permanent",0,0,"2,5x3","Y0","Saf de la forêt","Needs Review",NA,NA
"50","Nsaf de la forêt","planted",1,"<10cm planted","96","B2.16","DRC","Faja Lobi","Restoration","Restoration","30x30",1340,423,"main","Normal_30x30_2",NA,"Permanent",0,0,"2,5x3","Y0","Nsaf de la forêt","Needs Review",NA,NA
"51","Leucena cena 1","planted",NA,"<10cm planted","95","Bloc 9","DRC","Faja Lobi","Restoration","Restoration","30x30",1682,471,"main","Normal_30x30_2",NA,"Permanent",0,0,"2,5m sur 3m","Y0","Leucena cena 1","Needs Review",NA,NA
"52","Cekyoprodes","planted",4,"<10cm planted","95","2.3","DRC","Faja Lobi","Restoration","Restoration","30x30",1925,490,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Cekyoprodes","Needs Review",NA,NA
"53","Cekioprodes","planted",5,"<10cm planted","95","2.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1927,491,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Cekioprodes","Needs Review",NA,NA
"54","Laecena cena","planted",5,"<10cm planted","95","2.6","DRC","Faja Lobi","Restoration","Restoration","30x30",2009,499,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Laecena cena","Needs Review",NA,NA
"55","Mwana mpembe","planted",3,"<10cm planted","95","2.12","DRC","Faja Lobi","Restoration","Restoration","30x30",2093,508,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Mwana mpembe","Needs Review",NA,NA
"56","Bois noir 20Piptodeniastrum africanum","planted",18,"<10cm planted","96","3","DRC","Faja Lobi","Restoration","Restoration","30x30",2383,544,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Bois noir 20
Piptodeniastrum africanum","Needs Review",NA,NA
"57","5",NA,NA,NA,"96","1.5.6","DRC","Faja Lobi","Restoration","Restoration","30x30",2454,555,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","5","Needs Review",NA,NA
"58","Owes 29Bois noir 3Osing 4Maesopsi 9Casia ciamea 13Total 58",NA,NA,NA,"96","6","DRC","Faja Lobi","Restoration","Restoration","30x30",2573,575,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Owes 29
Bois noir 3
Osing 4
Maesopsi 9
Casia ciamea 13
Total 58","Needs Review",NA,NA
"59","Osing 40Bois noir 6Oniel 4Casia ciamea 4Owes 25Total 77",NA,NA,NA,"96","9","DRC","Faja Lobi","Restoration","Restoration","30x30",2586,578,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Osing 40
Bois noir 6
Oniel 4
Casia ciamea 4
Owes 25
Total 77","Needs Review",NA,NA
"60",NA,"planted",NA,"<10cm planted","95","1","DRC","Faja Lobi","Restoration","Restoration","30x30",2643,585,"main","Normal_30x30_2",NA,"Permanent",0,0,"3x2.5m","Y0",NA,"Needs Review",NA,NA
"61","Osing  2","planted",NA,"<10cm planted","95","1 .6","DRC","Faja Lobi","Restoration","Restoration","30x30",2736,598,"main","Normal_30x30_2",NA,"Permanent",0,0,"2,5 sur 3 m","Y0","Osing  2","Needs Review",NA,NA
"62","Menocardia","naturally_regenerating",6,">10cm","95","2. 14","DRC","Faja Lobi","Restoration","Restoration","30x30",2896,618,"main","Normal_30x30_2",NA,"Permanent",0,0,"2,5×3","Y0","Menocardia","Needs Review",NA,NA
"63","Kikos","Present",1,">10cm","95","Iseme  bloque  2","DRC","Faja Lobi","Restoration","Restoration","30x30",2968,624,"main","Normal_30x30_2",NA,"Permanent",0,0,"2,5 ×3 m","Y0","Kikos","Needs Review",NA,NA
"64","Lesena","planted",15,"<10cm planted","95","Iseme  bloque 2","DRC","Faja Lobi","Restoration","Restoration","30x30",2996,627,"main","Normal_30x30_2",NA,"Permanent",0,0,"2,5 sur 3m","Y0","Lesena","Needs Review",NA,NA
"65","Vermoxe","planted",1,"<10cm planted","95","Iseme  bloque 2","DRC","Faja Lobi","Restoration","Restoration","30x30",3004,627,"main","Normal_30x30_2",NA,"Permanent",0,0,"2,5 sur 3m","Y0","Vermoxe","Needs Review",NA,NA
"66","Bois noir",NA,33,NA,"96","8.4","DRC","Faja Lobi","Restoration","Restoration","30x30",3281,672,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5*3","Y0","Bois noir","Needs Review",NA,NA
"67","Bois noir 36",NA,NA,NA,"96","11","DRC","Faja Lobi","Restoration","Restoration","30x30",3328,680,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5*3","Y0","Bois noir 36","Needs Review",NA,NA
"68","Bois noir 50",NA,NA,NA,"96","12","DRC","Faja Lobi","Restoration","Restoration","30x30",3329,681,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5*3","Y0","Bois noir 50","Needs Review",NA,NA
"69","ghh",NA,NA,NA,"1783","S0040MP1","Madagascar","Amadese","Restoration","Restoration","30x30",3918,743,"main","Normal_30x30_2",NA,"Permanent",2,0,"ghh","Y0","ghh","Needs Review",NA,NA
"70",NA,"don_t_know",0,">10cm","1851","S0108MP1","Madagascar","Taotsara","Restoration","Restoration","30x30",3919,745,"main","Normal_30x30_2",NA,"Permanent",0,0,"Les arbres ont été plantés avec un espacements de 2m fois 2 m","Y0",NA,"Needs Review",NA,NA
"71","À",NA,NA,NA,"1869","S0126MP3","Madagascar","Taotsara","Restoration","Restoration","30x30",3935,845,"main","Normal_30x30_2",NA,"Permanent",0,0,"2*2","Y0","À","Needs Review",NA,NA
"72","Akondro","Present",1,">10cm","1873","S0130MP1","Madagascar","Taotsara","Restoration","Restoration","30x30",3986,985,"main","Normal_30x30_2",NA,"Permanent",0,0,"7*7","Y0","Akondro","Needs Review",NA,NA
"73","L",NA,NA,NA,"1891","S0148MP24","Madagascar","Taotsara","Restoration","Restoration","30x30",4010,1151,"main","Normal_30x30_2",NA,"Permanent",2,2,"2*2","Y0","L","Needs Review",NA,NA
"74",NA,"naturally_regenerating",NA,">10cm","1795","S0052130","Madagascar","FAFIALA","Restoration","Restoration","30x30",4057,1441,"main","Normal_30x30_2",NA,"Permanent",2,0,"4m sur 4m","Y0",NA,"Needs Review",NA,NA
"75","None",NA,NA,NA,"1791","S0048MP1","Madagascar","Amadese","Restoration","Restoration","30x30",4108,1810,"main","Normal_30x30_2",NA,"Permanent",0,2,"5m * 4m","Y0","None","Needs Review",NA,NA
"76",NA,"don_t_know",NA,">10cm","1750","S0007MP19","Madagascar","Amadese","Restoration","Restoration","30x30",4142,1864,"main","Normal_30x30_2",NA,"Permanent",1,2,"Arbres plantés avec un espacement de 3m sur 3m","Y0",NA,"Needs Review",NA,NA
"77","Quiebra coyol","Present",1,">10cm","1707","1707","Mexico","FONCET","Restoration","Restoration","30x30",4235,2111,"main","Normal_30x30_2",NA,"Permanent",0,0,"2X2","Y0","Quiebra coyol","Needs Review",NA,NA
"78","Torongil","Present",2,">10cm","1709","1709","Mexico","FONCET","Restoration","Restoration","30x30",4239,2112,"main","Normal_30x30_2",NA,"Permanent",0,0,"2X2","Y0","Torongil","Needs Review",NA,NA
"79","Manzana de mono","Present",3,">10cm","1712","1712","Mexico","FONCET","Restoration","Restoration","30x30",4243,2113,"main","Normal_30x30_2",NA,"Permanent",0,0,"2X2","Y0","Manzana de mono","Needs Review",NA,NA
"80","Cajoncillo","Present",1,">10cm","1712","1712","Mexico","FONCET","Restoration","Restoration","30x30",4244,2113,"main","Normal_30x30_2",NA,"Permanent",0,0,"2X2","Y0","Cajoncillo","Needs Review",NA,NA
"81","Capulin blanco","Present",4,">10cm","1697","1697","Mexico","FONCET","Restoration","Restoration","30x30",4249,2114,"main","Normal_30x30_2",NA,"Permanent",0,0,"2X2","Y0","Capulin blanco","Needs Review",NA,NA
"82","Canaco","Present",1,">10cm","1690","1690","Mexico","FONCET","Restoration","Restoration","30x30",4253,2115,"main","Normal_30x30_2",NA,"Permanent",0,0,"3X2","Y0","Canaco","Needs Review",NA,NA
"83","Amate","Present",1,">10cm","1690","1690","Mexico","FONCET","Restoration","Restoration","30x30",4254,2115,"main","Normal_30x30_2",NA,"Permanent",0,0,"3X2","Y0","Amate","Needs Review",NA,NA
"84","Chote","Present",1,">10cm","1687","1687","Mexico","FONCET","Restoration","Restoration","30x30",4257,2116,"main","Normal_30x30_2",NA,"Permanent",0,0,"2X2","Y0","Chote","Needs Review",NA,NA
"85","Caspirol","Present",2,">10cm","1689","2021","Mexico","FONCET","Restoration","Restoration","30x30",4265,2118,"main","Normal_30x30_2",NA,"Permanent",0,0,"2X2","Y0","Caspirol","Needs Review",NA,NA
"86","Guarumbo","Present",7,">10cm","1689","2021","Mexico","FONCET","Restoration","Restoration","30x30",4266,2118,"main","Normal_30x30_2",NA,"Permanent",0,0,"2X2","Y0","Guarumbo","Needs Review",NA,NA
"87","mano de León","Present",1,">10cm","1689","2021","Mexico","FONCET","Restoration","Restoration","30x30",4267,2118,"main","Normal_30x30_2",NA,"Permanent",0,0,"2X2","Y0","mano de León","Needs Review",NA,NA
"88","Cajete","Present",1,">10cm","1654","1654","Mexico","FONCET","Restoration","Restoration","30x30",4280,2122,"main","Normal_30x30_2",NA,"Permanent",0,0,"4X4","Y0","Cajete","Needs Review",NA,NA
"89","Pino","Present",1,">10cm","886","886","Mexico","Café Capitan","Restoration","Restoration","30x30",4296,2128,"main","Normal_30x30_2",NA,"Permanent",0,0,"3*2","Y0","Pino","Needs Review",NA,NA
"90","Palo de agua","Present",5,">10cm","886","886","Mexico","Café Capitan","Restoration","Restoration","30x30",4297,2128,"main","Normal_30x30_2",NA,"Permanent",0,0,"3*2","Y0","Palo de agua","Needs Review",NA,NA
"91","Igueria","Present",4,">10cm","887","887","Mexico","Café Capitan","Restoration","Restoration","30x30",4306,2131,"main","Normal_30x30_2",NA,"Permanent",0,0,"3*2","Y0","Igueria","Needs Review",NA,NA
"92","Kunnt","Present",1,">10cm","1711","1","Mexico","FONCET","Restoration","Restoration","30x30",4318,2134,"main","Normal_30x30_2",NA,"Permanent",1,2,"2 m por 2 m","Y0","Kunnt","Needs Review",NA,NA
"93","Capulin de paloma","Present",4,">10cm","1694","Geográfica","Mexico","FONCET","Restoration","Restoration","30x30",4322,2135,"main","Normal_30x30_2",NA,"Permanent",1,2,"Los árboles se plantaron con una separación de 4 m por 4 m","Y0","Capulin de paloma","Needs Review",NA,NA
"94","Chalum blanco","Present",7,">10cm","1694","Geográfica","Mexico","FONCET","Restoration","Restoration","30x30",4326,2135,"main","Normal_30x30_2",NA,"Permanent",1,2,"Los árboles se plantaron con una separación de 4 m por 4 m","Y0","Chalum blanco","Needs Review",NA,NA
"95","Chaperla","Present",3,">10cm","1683","168","Mexico","FONCET","Restoration","Restoration","30x30",4330,2136,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se plantaron con una separación de 1.50 por 1.50","Y0","Chaperla","Needs Review",NA,NA
"96","Caridea","Present",2,">10cm","1683","168","Mexico","FONCET","Restoration","Restoration","30x30",4331,2136,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se plantaron con una separación de 1.50 por 1.50","Y0","Caridea","Needs Review",NA,NA
"97","Lombricillo","Present",2,">10cm","1679","1679","Mexico","FONCET","Restoration","Restoration","30x30",4336,2138,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se plantaron con una separación de 4 m por 4 m","Y0","Lombricillo","Needs Review",NA,NA
"98","Chalum","Present",2,">10cm","1710","1","Mexico","FONCET","Restoration","Restoration","30x30",4339,2139,"main","Normal_30x30_2",NA,"Permanent",1,2,"2m por 2m","Y0","Chalum","Needs Review",NA,NA
"99","Portoricensis pittier","Present",5,">10cm","1704","1704","Mexico","FONCET","Restoration","Restoration","30x30",4360,2143,"main","Normal_30x30_2",NA,"Permanent",0,0,"2x2","Y0","Portoricensis pittier","Needs Review",NA,NA
"100","Camaron","Present",1,">10cm","1686","1","Mexico","FONCET","Restoration","Restoration","30x30",4472,2167,"main","Normal_30x30_2",NA,"Permanent",1,0,"2× 2","Y0","Camaron","Needs Review",NA,NA
"101","Burócrata cimaruba","Present",2,">10cm","1707","0","Mexico","FONCET","Restoration","Restoration","30x30",4482,2169,"main","Normal_30x30_2",NA,"Permanent",0,0,"2. × 2","Y0","Burócrata cimaruba","Needs Review",NA,NA
"102","Aguacatillo","Present",4,">10cm","1482","1482","Mexico","CUCOS","Restoration","Restoration","30x30",4591,2213,"main","Normal_30x30_2",NA,"Permanent",0,0,"3 metros por 4 metros","Y0","Aguacatillo","Needs Review",NA,NA
"103","Pino","Present",2,">10cm","1482","1482","Mexico","CUCOS","Restoration","Restoration","30x30",4592,2213,"main","Normal_30x30_2",NA,"Permanent",0,0,"3 metros por 4 metros","Y0","Pino","Needs Review",NA,NA
"104","Macuil","Present",6,">10cm","1482","1482","Mexico","CUCOS","Restoration","Restoration","30x30",4593,2213,"main","Normal_30x30_2",NA,"Permanent",0,0,"3 metros por 4 metros","Y0","Macuil","Needs Review",NA,NA
"105","Coralillo","Present",1,">10cm","1482","1482","Mexico","CUCOS","Restoration","Restoration","30x30",4594,2213,"main","Normal_30x30_2",NA,"Permanent",0,0,"3 metros por 4 metros","Y0","Coralillo","Needs Review",NA,NA
"106","Cuil","naturally_regenerating",1,">10cm","1482","1482","Mexico","CUCOS","Restoration","Restoration","30x30",4597,2213,"main","Normal_30x30_2",NA,"Permanent",0,0,"3 metros por 4 metros","Y0","Cuil","Needs Review",NA,NA
